pokemon,move_level,move_name,move_type,power,accuracy,crit,move_stage
Charizard,,Overheat,Fire,0.0,0.9,False,43.0
Charizard,1.0,Heat Wave,Fire,100.0,0.9,False,
Charizard,1.0,Metal Claw,Steel,50.0,0.95,False,
Squirtle,1.0,Tackle,Normal,35.0,0.95,False,
Squirtle,7.0,Bubble,Water,20.0,1.0,False,
Squirtle,13.0,Water Gun,Water,40.0,1.0,False,
Squirtle,18.0,Bite,Dark,60.0,1.0,False,
Squirtle,23.0,Rapid Spin,Normal,20.0,1.0,False,
Squirtle,47.0,Hydro Pump,Water,120.0,0.8,False,
Squirtle,,Surf,Water,95.0,1.0,False,45.0
Squirtle,,Strength,Normal,80.0,1.0,False,35.0
Squirtle,,Rock Smash,Fighting,20.0,1.0,False,21.0
Squirtle,,Waterfall,Water,80.0,1.0,False,84.0
Squirtle,,Dive,Water,60.0,1.0,False,70.0
Squirtle,,Water Pulse,Water,60.0,1.0,False,86.0
Squirtle,,Hidden Power,Normal,60.0,1.0,False,16.0
Squirtle,,Ice Beam,Ice,95.0,1.0,False,18.0
Squirtle,,Blizzard,Ice,120.0,0.7,False,66.0
Squirtle,,Iron Tail,Steel,100.0,0.75,False,86.0
Squirtle,,Return,Normal,102.0,1.0,False,31.0
Squirtle,,Dig,Ground,60.0,1.0,False,32.0
Squirtle,,Brick Break,Fighting,75.0,1.0,False,84.0
Squirtle,,Facade,Normal,70.0,1.0,False,45.0
Squirtle,,Secret Power,Normal,70.0,1.0,False,16.0
Wartortle,1.0,Bubble,Water,20.0,1.0,False,
Wartortle,1.0,Tackle,Normal,35.0,0.95,False,
Wartortle,13.0,Water Gun,Water,40.0,1.0,False,
Wartortle,19.0,Bite,Dark,60.0,1.0,False,
Wartortle,25.0,Rapid Spin,Normal,20.0,1.0,False,
Wartortle,53.0,Hydro Pump,Water,120.0,0.8,False,
Wartortle,,Surf,Water,95.0,1.0,False,45.0
Wartortle,,Strength,Normal,80.0,1.0,False,35.0
Wartortle,,Rock Smash,Fighting,20.0,1.0,False,21.0
Wartortle,,Waterfall,Water,80.0,1.0,False,84.0
Wartortle,,Dive,Water,60.0,1.0,False,70.0
Wartortle,,Water Pulse,Water,60.0,1.0,False,86.0
Wartortle,,Hidden Power,Normal,60.0,1.0,False,16.0
Wartortle,,Ice Beam,Ice,95.0,1.0,False,18.0
Wartortle,,Blizzard,Ice,120.0,0.7,False,66.0
Wartortle,,Iron Tail,Steel,100.0,0.75,False,86.0
Wartortle,,Return,Normal,102.0,1.0,False,31.0
Wartortle,,Dig,Ground,60.0,1.0,False,32.0
Wartortle,,Brick Break,Fighting,75.0,1.0,False,84.0
Wartortle,,Facade,Normal,70.0,1.0,False,45.0
Wartortle,,Secret Power,Normal,70.0,1.0,False,16.0
Blastoise,1.0,Bubble,Water,20.0,1.0,False,
Blastoise,1.0,Tackle,Normal,35.0,0.95,False,
Blastoise,13.0,Water Gun,Water,40.0,1.0,False,
Blastoise,19.0,Bite,Dark,60.0,1.0,False,
Blastoise,25.0,Rapid Spin,Normal,20.0,1.0,False,
Blastoise,68.0,Hydro Pump,Water,120.0,0.8,False,
Blastoise,,Surf,Water,95.0,1.0,False,45.0
Blastoise,,Strength,Normal,80.0,1.0,False,35.0
Blastoise,,Rock Smash,Fighting,20.0,1.0,False,21.0
Blastoise,,Waterfall,Water,80.0,1.0,False,84.0
Blastoise,,Dive,Water,60.0,1.0,False,70.0
Blastoise,,Water Pulse,Water,60.0,1.0,False,86.0
Blastoise,,Hidden Power,Normal,60.0,1.0,False,16.0
Blastoise,,Ice Beam,Ice,95.0,1.0,False,18.0
Blastoise,,Blizzard,Ice,120.0,0.7,False,66.0
Blastoise,,Hyper Beam,Normal,75.0,0.9,False,66.0
Blastoise,,Iron Tail,Steel,100.0,0.75,False,86.0
Blastoise,,Earthquake,Ground,100.0,1.0,False,77.0
Blastoise,,Return,Normal,102.0,1.0,False,31.0
Blastoise,,Dig,Ground,60.0,1.0,False,32.0
Blastoise,,Brick Break,Fighting,75.0,1.0,False,84.0
Blastoise,,Facade,Normal,70.0,1.0,False,45.0
Blastoise,,Secret Power,Normal,70.0,1.0,False,16.0
Caterpie,1.0,Tackle,Normal,35.0,0.95,False,
Metapod,0.0,Struggle,Normal,1.0,1.0,False,
Butterfree,1.0,Confusion,Psychic,50.0,1.0,False,
Butterfree,28.0,Gust,Flying,40.0,1.0,False,
Butterfree,34.0,Psybeam,Psychic,65.0,1.0,False,
Butterfree,47.0,Silver Wind,Bug,60.0,1.0,False,
Butterfree,,Hidden Power,Normal,60.0,1.0,False,16.0
Butterfree,,Hyper Beam,Normal,75.0,0.9,False,66.0
Butterfree,,Giga Drain,Grass,60.0,1.0,False,64.0
Butterfree,,Return,Normal,102.0,1.0,False,31.0
Butterfree,,Psychic,Psychic,90.0,1.0,False,22.0
Butterfree,,Shadow Ball,Ghost,80.0,1.0,False,63.0
Butterfree,,Aerial Ace,Flying,60.0,1.0,False,59.0
Butterfree,,Facade,Normal,70.0,1.0,False,45.0
Butterfree,,Secret Power,Normal,70.0,1.0,False,16.0
Butterfree,,Thief,Dark,40.0,1.0,False,16.0
Weedle,1.0,Poison Sting,Poison,15.0,1.0,False,
Kakuna,0.0,Struggle,Normal,1.0,1.0,False,
Beedrill,1.0,Fury Attack,Normal,45.0,0.85,False,
Beedrill,20.0,Twineedle,Bug,50.0,1.0,False,
Beedrill,25.0,Rage,Normal,20.0,1.0,False,
Beedrill,30.0,Pursuit,Dark,40.0,1.0,False,
Beedrill,35.0,Pin Missile,Bug,42.0,0.85,False,
Beedrill,,Cut,Normal,50.0,0.95,False,6.0
Beedrill,,Rock Smash,Fighting,20.0,1.0,False,21.0
Beedrill,,Hidden Power,Normal,60.0,1.0,False,16.0
Beedrill,,Hyper Beam,Normal,75.0,0.9,False,66.0
Beedrill,,Giga Drain,Grass,60.0,1.0,False,64.0
Beedrill,,Return,Normal,102.0,1.0,False,31.0
Beedrill,,Brick Break,Fighting,75.0,1.0,False,84.0
Beedrill,,Sludge Bomb,Poison,90.0,1.0,False,12.0
Beedrill,,Aerial Ace,Flying,60.0,1.0,False,59.0
Beedrill,,Facade,Normal,70.0,1.0,False,45.0
Beedrill,,Secret Power,Normal,70.0,1.0,False,16.0
Beedrill,,Thief,Dark,40.0,1.0,False,16.0
Pidgey,1.0,Tackle,Normal,35.0,0.95,False,
Pidgey,9.0,Gust,Flying,40.0,1.0,False,
Pidgey,13.0,Quick Attack,Normal,40.0,1.0,False,
Pidgey,25.0,Wing Attack,Flying,60.0,1.0,False,
Pidgey,,Fly,Flying,70.0,0.95,False,55.0
Pidgey,,Hidden Power,Normal,60.0,1.0,False,16.0
Pidgey,,Return,Normal,102.0,1.0,False,31.0
Pidgey,,Aerial Ace,Flying,60.0,1.0,False,59.0
Pidgey,,Facade,Normal,70.0,1.0,False,45.0
Pidgey,,Secret Power,Normal,70.0,1.0,False,16.0
Pidgey,,Thief,Dark,40.0,1.0,False,16.0
Pidgey,,Steel Wing,Steel,70.0,0.9,False,13.0
Pidgeotto,1.0,Gust,Flying,40.0,1.0,False,
Pidgeotto,1.0,Tackle,Normal,35.0,0.95,False,
Pidgeotto,13.0,Quick Attack,Normal,40.0,1.0,False,
Pidgeotto,27.0,Wing Attack,Flying,60.0,1.0,False,
Pidgeotto,,Fly,Flying,70.0,0.95,False,55.0
Pidgeotto,,Hidden Power,Normal,60.0,1.0,False,16.0
Pidgeotto,,Return,Normal,102.0,1.0,False,31.0
Pidgeotto,,Aerial Ace,Flying,60.0,1.0,False,59.0
Pidgeotto,,Facade,Normal,70.0,1.0,False,45.0
Pidgeotto,,Secret Power,Normal,70.0,1.0,False,16.0
Pidgeotto,,Thief,Dark,40.0,1.0,False,16.0
Pidgeotto,,Steel Wing,Steel,70.0,0.9,False,13.0
Pidgeot,1.0,Gust,Flying,40.0,1.0,False,
Pidgeot,1.0,Quick Attack,Normal,40.0,1.0,False,
Pidgeot,1.0,Tackle,Normal,35.0,0.95,False,
Pidgeot,27.0,Wing Attack,Flying,60.0,1.0,False,
Pidgeot,,Fly,Flying,70.0,0.95,False,55.0
Pidgeot,,Hidden Power,Normal,60.0,1.0,False,16.0
Pidgeot,,Hyper Beam,Normal,75.0,0.9,False,66.0
Pidgeot,,Return,Normal,102.0,1.0,False,31.0
Pidgeot,,Aerial Ace,Flying,60.0,1.0,False,59.0
Pidgeot,,Facade,Normal,70.0,1.0,False,45.0
Pidgeot,,Secret Power,Normal,70.0,1.0,False,16.0
Pidgeot,,Thief,Dark,40.0,1.0,False,16.0
Pidgeot,,Steel Wing,Steel,70.0,0.9,False,13.0
Rattata,1.0,Tackle,Normal,35.0,0.95,False,
Rattata,7.0,Quick Attack,Normal,40.0,1.0,False,
Rattata,13.0,Hyper Fang,Normal,80.0,0.9,False,
Rattata,27.0,Pursuit,Dark,40.0,1.0,False,
Rattata,,Cut,Normal,50.0,0.95,False,6.0
Rattata,,Rock Smash,Fighting,20.0,1.0,False,21.0
Rattata,,Hidden Power,Normal,60.0,1.0,False,16.0
Rattata,,Ice Beam,Ice,95.0,1.0,False,18.0
Rattata,,Blizzard,Ice,120.0,0.7,False,66.0
Rattata,,Iron Tail,Steel,100.0,0.75,False,86.0
Rattata,,Thunderbolt,Electric,95.0,1.0,False,22.0
Rattata,,Thunder,Electric,120.0,0.7,False,22.0
Rattata,,Return,Normal,102.0,1.0,False,31.0
Rattata,,Dig,Ground,60.0,1.0,False,32.0
Rattata,,Shadow Ball,Ghost,80.0,1.0,False,63.0
Rattata,,Shock Wave,Electric,60.0,1.0,False,25.0
Rattata,,Facade,Normal,70.0,1.0,False,45.0
Rattata,,Secret Power,Normal,70.0,1.0,False,16.0
Rattata,,Thief,Dark,40.0,1.0,False,16.0
Raticate,1.0,Quick Attack,Normal,40.0,1.0,False,
Raticate,1.0,Tackle,Normal,35.0,0.95,False,
Raticate,13.0,Hyper Fang,Normal,80.0,0.9,False,
Raticate,30.0,Pursuit,Dark,40.0,1.0,False,
Raticate,,Cut,Normal,50.0,0.95,False,6.0
Raticate,,Strength,Normal,80.0,1.0,False,35.0
Raticate,,Rock Smash,Fighting,20.0,1.0,False,21.0
Raticate,,Hidden Power,Normal,60.0,1.0,False,16.0
Raticate,,Ice Beam,Ice,95.0,1.0,False,18.0
Raticate,,Blizzard,Ice,120.0,0.7,False,66.0
Raticate,,Hyper Beam,Normal,75.0,0.9,False,66.0
Raticate,,Iron Tail,Steel,100.0,0.75,False,86.0
Raticate,,Thunderbolt,Electric,95.0,1.0,False,22.0
Raticate,,Thunder,Electric,120.0,0.7,False,22.0
Raticate,,Return,Normal,102.0,1.0,False,31.0
Raticate,,Dig,Ground,60.0,1.0,False,32.0
Raticate,,Shadow Ball,Ghost,80.0,1.0,False,63.0
Raticate,,Shock Wave,Electric,60.0,1.0,False,25.0
Raticate,,Facade,Normal,70.0,1.0,False,45.0
Raticate,,Secret Power,Normal,70.0,1.0,False,16.0
Raticate,,Thief,Dark,40.0,1.0,False,16.0
Spearow,1.0,Peck,Flying,35.0,1.0,False,
Spearow,13.0,Fury Attack,Normal,45.0,0.85,False,
Spearow,19.0,Pursuit,Dark,40.0,1.0,False,
Spearow,25.0,Aerial Ace,Flying,60.0,1.0,False,59.0
Spearow,37.0,Drill Peck,Flying,80.0,1.0,False,
Spearow,,Fly,Flying,70.0,0.95,False,55.0
Spearow,,Hidden Power,Normal,60.0,1.0,False,16.0
Spearow,,Return,Normal,102.0,1.0,False,31.0
Spearow,,Facade,Normal,70.0,1.0,False,45.0
Spearow,,Secret Power,Normal,70.0,1.0,False,16.0
Spearow,,Thief,Dark,40.0,1.0,False,16.0
Spearow,,Steel Wing,Steel,70.0,0.9,False,13.0
Fearow,1.0,Fury Attack,Normal,45.0,0.85,False,
Fearow,1.0,Peck,Flying,35.0,1.0,False,
Fearow,26.0,Pursuit,Dark,40.0,1.0,False,
Fearow,40.0,Drill Peck,Flying,80.0,1.0,False,
Fearow,,Fly,Flying,70.0,0.95,False,55.0
Fearow,,Hidden Power,Normal,60.0,1.0,False,16.0
Fearow,,Hyper Beam,Normal,75.0,0.9,False,66.0
Fearow,,Return,Normal,102.0,1.0,False,31.0
Fearow,,Aerial Ace,Flying,60.0,1.0,False,59.0
Fearow,,Facade,Normal,70.0,1.0,False,45.0
Fearow,,Secret Power,Normal,70.0,1.0,False,16.0
Fearow,,Thief,Dark,40.0,1.0,False,16.0
Fearow,,Steel Wing,Steel,70.0,0.9,False,13.0
Ekans,1.0,Wrap,Normal,15.0,0.85,False,
Ekans,8.0,Poison Sting,Poison,15.0,1.0,False,
Ekans,13.0,Bite,Dark,60.0,1.0,False,
Ekans,32.0,Acid,Poison,40.0,1.0,False,
Ekans,,Strength,Normal,80.0,1.0,False,35.0
Ekans,,Hidden Power,Normal,60.0,1.0,False,16.0
Ekans,,Giga Drain,Grass,60.0,1.0,False,64.0
Ekans,,Iron Tail,Steel,100.0,0.75,False,86.0
Ekans,,Earthquake,Ground,100.0,1.0,False,77.0
Ekans,,Return,Normal,102.0,1.0,False,31.0
Ekans,,Dig,Ground,60.0,1.0,False,32.0
Ekans,,Sludge Bomb,Poison,90.0,1.0,False,12.0
Ekans,,Facade,Normal,70.0,1.0,False,45.0
Ekans,,Secret Power,Normal,70.0,1.0,False,16.0
Ekans,,Thief,Dark,40.0,1.0,False,16.0
Arbok,1.0,Bite,Dark,60.0,1.0,False,
Arbok,1.0,Poison Sting,Poison,15.0,1.0,False,
Arbok,1.0,Wrap,Normal,15.0,0.85,False,
Arbok,38.0,Acid,Poison,40.0,1.0,False,
Arbok,,Strength,Normal,80.0,1.0,False,35.0
Arbok,,Hidden Power,Normal,60.0,1.0,False,16.0
Arbok,,Hyper Beam,Normal,75.0,0.9,False,66.0
Arbok,,Giga Drain,Grass,60.0,1.0,False,64.0
Arbok,,Iron Tail,Steel,100.0,0.75,False,86.0
Arbok,,Earthquake,Ground,100.0,1.0,False,77.0
Arbok,,Return,Normal,102.0,1.0,False,31.0
Arbok,,Dig,Ground,60.0,1.0,False,32.0
Arbok,,Sludge Bomb,Poison,90.0,1.0,False,12.0
Arbok,,Facade,Normal,70.0,1.0,False,45.0
Arbok,,Secret Power,Normal,70.0,1.0,False,16.0
Arbok,,Thief,Dark,40.0,1.0,False,16.0
Pichu,1.0,ThunderShock,Electric,40.0,1.0,False,
Pichu,,Hidden Power,Normal,60.0,1.0,False,16.0
Pichu,,Iron Tail,Steel,100.0,0.75,False,86.0
Pichu,,Thunderbolt,Electric,95.0,1.0,False,22.0
Pichu,,Thunder,Electric,120.0,0.7,False,22.0
Pichu,,Return,Normal,102.0,1.0,False,31.0
Pichu,,Shock Wave,Electric,60.0,1.0,False,25.0
Pichu,,Facade,Normal,70.0,1.0,False,45.0
Pichu,,Secret Power,Normal,70.0,1.0,False,16.0
Pikachu,1.0,ThunderShock,Electric,40.0,1.0,False,
Pikachu,11.0,Quick Attack,Normal,40.0,1.0,False,
Pikachu,20.0,Slam,Normal,80.0,0.75,False,
Pikachu,26.0,Thunderbolt,Electric,95.0,1.0,False,22.0
Pikachu,41.0,Thunder,Electric,120.0,0.7,False,22.0
Pikachu,,Strength,Normal,80.0,1.0,False,35.0
Pikachu,,Rock Smash,Fighting,20.0,1.0,False,21.0
Pikachu,,Hidden Power,Normal,60.0,1.0,False,16.0
Pikachu,,Iron Tail,Steel,100.0,0.75,False,86.0
Pikachu,,Return,Normal,102.0,1.0,False,31.0
Pikachu,,Dig,Ground,60.0,1.0,False,32.0
Pikachu,,Brick Break,Fighting,75.0,1.0,False,84.0
Pikachu,,Shock Wave,Electric,60.0,1.0,False,25.0
Pikachu,,Facade,Normal,70.0,1.0,False,45.0
Pikachu,,Secret Power,Normal,70.0,1.0,False,16.0
Raichu,1.0,Quick Attack,Normal,40.0,1.0,False,
Raichu,1.0,ThunderShock,Electric,40.0,1.0,False,
Raichu,1.0,Thunderbolt,Electric,95.0,1.0,False,22.0
Raichu,,Strength,Normal,80.0,1.0,False,35.0
Raichu,,Rock Smash,Fighting,20.0,1.0,False,21.0
Raichu,,Hidden Power,Normal,60.0,1.0,False,16.0
Raichu,,Hyper Beam,Normal,75.0,0.9,False,66.0
Raichu,,Iron Tail,Steel,100.0,0.75,False,86.0
Raichu,,Thunder,Electric,120.0,0.7,False,22.0
Raichu,,Return,Normal,102.0,1.0,False,31.0
Raichu,,Dig,Ground,60.0,1.0,False,32.0
Raichu,,Brick Break,Fighting,75.0,1.0,False,84.0
Raichu,,Shock Wave,Electric,60.0,1.0,False,25.0
Raichu,,Facade,Normal,70.0,1.0,False,45.0
Raichu,,Secret Power,Normal,70.0,1.0,False,16.0
Raichu,,Thief,Dark,40.0,1.0,False,16.0
Sandshrew,1.0,Scratch,Normal,40.0,1.0,False,
Sandshrew,17.0,Poison Sting,Poison,15.0,1.0,False,
Sandshrew,23.0,Slash,Normal,70.0,1.0,True,
Sandshrew,30.0,Swift,Normal,60.0,1.0,False,
Sandshrew,37.0,Fury Swipes,Normal,54.0,0.8,False,
Sandshrew,45.0,Sand Tomb,Ground,15.0,0.7,False,
Sandshrew,,Cut,Normal,50.0,0.95,False,6.0
Sandshrew,,Strength,Normal,80.0,1.0,False,35.0
Sandshrew,,Rock Smash,Fighting,20.0,1.0,False,21.0
Sandshrew,,Hidden Power,Normal,60.0,1.0,False,16.0
Sandshrew,,Iron Tail,Steel,100.0,0.75,False,86.0
Sandshrew,,Earthquake,Ground,100.0,1.0,False,77.0
Sandshrew,,Return,Normal,102.0,1.0,False,31.0
Sandshrew,,Dig,Ground,60.0,1.0,False,32.0
Sandshrew,,Brick Break,Fighting,75.0,1.0,False,84.0
Sandshrew,,Rock Tomb,Rock,50.0,0.8,False,8.0
Sandshrew,,Aerial Ace,Flying,60.0,1.0,False,59.0
Sandshrew,,Facade,Normal,70.0,1.0,False,45.0
Sandshrew,,Secret Power,Normal,70.0,1.0,False,16.0
Sandshrew,,Thief,Dark,40.0,1.0,False,16.0
Sandslash,1.0,Scratch,Normal,40.0,1.0,False,
Sandslash,17.0,Poison Sting,Poison,15.0,1.0,False,
Sandslash,24.0,Slash,Normal,70.0,1.0,True,
Sandslash,33.0,Swift,Normal,60.0,1.0,False,
Sandslash,42.0,Fury Swipes,Normal,54.0,0.8,False,
Sandslash,52.0,Sand Tomb,Ground,15.0,0.7,False,
Sandslash,,Cut,Normal,50.0,0.95,False,6.0
Sandslash,,Strength,Normal,80.0,1.0,False,35.0
Sandslash,,Rock Smash,Fighting,20.0,1.0,False,21.0
Sandslash,,Hidden Power,Normal,60.0,1.0,False,16.0
Sandslash,,Hyper Beam,Normal,75.0,0.9,False,66.0
Sandslash,,Iron Tail,Steel,100.0,0.75,False,86.0
Sandslash,,Earthquake,Ground,100.0,1.0,False,77.0
Sandslash,,Return,Normal,102.0,1.0,False,31.0
Sandslash,,Dig,Ground,60.0,1.0,False,32.0
Sandslash,,Brick Break,Fighting,75.0,1.0,False,84.0
Sandslash,,Rock Tomb,Rock,50.0,0.8,False,8.0
Sandslash,,Aerial Ace,Flying,60.0,1.0,False,59.0
Sandslash,,Facade,Normal,70.0,1.0,False,45.0
Sandslash,,Secret Power,Normal,70.0,1.0,False,16.0
Sandslash,,Thief,Dark,40.0,1.0,False,16.0
Nidoran_f,0.0,Struggle,Normal,1.0,1.0,False,
Nidorina,1.0,Scratch,Normal,40.0,1.0,False,
Nidorina,12.0,Double Kick,Fighting,60.0,1.0,False,
Nidorina,18.0,Poison Sting,Poison,15.0,1.0,False,
Nidorina,22.0,Bite,Dark,60.0,1.0,False,
Nidorina,34.0,Fury Swipes,Normal,54.0,0.8,False,
Nidorina,53.0,Crunch,Dark,80.0,1.0,False,
Nidorina,,Cut,Normal,50.0,0.95,False,6.0
Nidorina,,Strength,Normal,80.0,1.0,False,35.0
Nidorina,,Rock Smash,Fighting,20.0,1.0,False,21.0
Nidorina,,Water Pulse,Water,60.0,1.0,False,86.0
Nidorina,,Hidden Power,Normal,60.0,1.0,False,16.0
Nidorina,,Ice Beam,Ice,95.0,1.0,False,18.0
Nidorina,,Blizzard,Ice,120.0,0.7,False,66.0
Nidorina,,Iron Tail,Steel,100.0,0.75,False,86.0
Nidorina,,Thunderbolt,Electric,95.0,1.0,False,22.0
Nidorina,,Thunder,Electric,120.0,0.7,False,22.0
Nidorina,,Return,Normal,102.0,1.0,False,31.0
Nidorina,,Dig,Ground,60.0,1.0,False,32.0
Nidorina,,Shock Wave,Electric,60.0,1.0,False,25.0
Nidorina,,Sludge Bomb,Poison,90.0,1.0,False,12.0
Nidorina,,Aerial Ace,Flying,60.0,1.0,False,59.0
Nidorina,,Facade,Normal,70.0,1.0,False,45.0
Nidorina,,Secret Power,Normal,70.0,1.0,False,16.0
Nidorina,,Thief,Dark,40.0,1.0,False,16.0
Nidoqueen,1.0,Double Kick,Fighting,60.0,1.0,False,
Nidoqueen,1.0,Poison Sting,Poison,15.0,1.0,False,
Nidoqueen,1.0,Scratch,Normal,40.0,1.0,False,
Nidoqueen,23.0,Body Slam,Normal,85.0,1.0,False,
