pokemon,lvl,move,type,power,accuracy,crit
Squirtle,,Dive,Water,60.0,1.0,False
Squirtle,,Water Pulse,Water,60.0,1.0,False
Squirtle,,Hidden Power,Normal,60.0,1.0,False
Squirtle,,Ice Beam,Ice,95.0,1.0,False
Squirtle,,Blizzard,Ice,120.0,0.7,False
Squirtle,,Iron Tail,Steel,100.0,0.75,False
Squirtle,,Return,Normal,102.0,1.0,False
Squirtle,,Dig,Ground,60.0,1.0,False
Squirtle,,Brick Break,Fighting,75.0,1.0,False
Squirtle,,Facade,Normal,70.0,1.0,False
Squirtle,,Secret Power,Normal,70.0,1.0,False
Wartortle,1.0,Bubble,Water,20.0,1.0,False
Wartortle,1.0,Tackle,Normal,35.0,0.95,False
Wartortle,13.0,Water Gun,Water,40.0,1.0,False
Wartortle,19.0,Bite,Dark,60.0,1.0,False
Wartortle,25.0,Rapid Spin,Normal,20.0,1.0,False
Wartortle,53.0,Hydro Pump,Water,120.0,0.8,False
Wartortle,,Surf,Water,95.0,1.0,False
Wartortle,,Strength,Normal,80.0,1.0,False
Wartortle,,Rock Smash,Fighting,20.0,1.0,False
Wartortle,,Waterfall,Water,80.0,1.0,False
Wartortle,,Dive,Water,60.0,1.0,False
Wartortle,,Water Pulse,Water,60.0,1.0,False
Wartortle,,Hidden Power,Normal,60.0,1.0,False
Wartortle,,Ice Beam,Ice,95.0,1.0,False
Wartortle,,Blizzard,Ice,120.0,0.7,False
Wartortle,,Iron Tail,Steel,100.0,0.75,False
Wartortle,,Return,Normal,102.0,1.0,False
Wartortle,,Dig,Ground,60.0,1.0,False
Wartortle,,Brick Break,Fighting,75.0,1.0,False
Wartortle,,Facade,Normal,70.0,1.0,False
Wartortle,,Secret Power,Normal,70.0,1.0,False
Blastoise,1.0,Bubble,Water,20.0,1.0,False
Blastoise,1.0,Tackle,Normal,35.0,0.95,False
Blastoise,13.0,Water Gun,Water,40.0,1.0,False
Blastoise,19.0,Bite,Dark,60.0,1.0,False
Blastoise,25.0,Rapid Spin,Normal,20.0,1.0,False
Blastoise,68.0,Hydro Pump,Water,120.0,0.8,False
Blastoise,,Surf,Water,95.0,1.0,False
Blastoise,,Strength,Normal,80.0,1.0,False
Blastoise,,Rock Smash,Fighting,20.0,1.0,False
Blastoise,,Waterfall,Water,80.0,1.0,False
Blastoise,,Dive,Water,60.0,1.0,False
Blastoise,,Water Pulse,Water,60.0,1.0,False
Blastoise,,Hidden Power,Normal,60.0,1.0,False
Blastoise,,Ice Beam,Ice,95.0,1.0,False
Blastoise,,Blizzard,Ice,120.0,0.7,False
Blastoise,,Hyper Beam,Normal,75.0,0.9,False
Blastoise,,Iron Tail,Steel,100.0,0.75,False
Blastoise,,Earthquake,Ground,100.0,1.0,False
Blastoise,,Return,Normal,102.0,1.0,False
Blastoise,,Dig,Ground,60.0,1.0,False
Blastoise,,Brick Break,Fighting,75.0,1.0,False
Blastoise,,Facade,Normal,70.0,1.0,False
Blastoise,,Secret Power,Normal,70.0,1.0,False
Caterpie,1.0,Tackle,Normal,35.0,0.95,False
Metapod,0.0,Struggle,Normal,1.0,1.0,False
Butterfree,1.0,Confusion,Psychic,50.0,1.0,False
Butterfree,28.0,Gust,Flying,40.0,1.0,False
Butterfree,34.0,Psybeam,Psychic,65.0,1.0,False
Butterfree,47.0,Silver Wind,Bug,60.0,1.0,False
Butterfree,,Hidden Power,Normal,60.0,1.0,False
Butterfree,,Hyper Beam,Normal,75.0,0.9,False
Butterfree,,Giga Drain,Grass,60.0,1.0,False
Butterfree,,Return,Normal,102.0,1.0,False
Butterfree,,Psychic,Psychic,90.0,1.0,False
Butterfree,,Shadow Ball,Ghost,80.0,1.0,False
Butterfree,,Aerial Ace,Flying,60.0,1.0,False
Butterfree,,Facade,Normal,70.0,1.0,False
Butterfree,,Secret Power,Normal,70.0,1.0,False
Butterfree,,Thief,Dark,40.0,1.0,False
Weedle,1.0,Poison Sting,Poison,15.0,1.0,False
Kakuna,0.0,Struggle,Normal,1.0,1.0,False
Beedrill,1.0,Fury Attack,Normal,45.0,0.85,False
Beedrill,20.0,Twineedle,Bug,25.0,1.0,False
Beedrill,25.0,Rage,Normal,20.0,1.0,False
Beedrill,30.0,Pursuit,Dark,40.0,1.0,False
Beedrill,35.0,Pin Missile,Bug,42.0,0.85,False
Beedrill,,Cut,Normal,50.0,0.95,False
Beedrill,,Rock Smash,Fighting,20.0,1.0,False
Beedrill,,Hidden Power,Normal,60.0,1.0,False
Beedrill,,Hyper Beam,Normal,75.0,0.9,False
Beedrill,,Giga Drain,Grass,60.0,1.0,False
Beedrill,,Return,Normal,102.0,1.0,False
Beedrill,,Brick Break,Fighting,75.0,1.0,False
Beedrill,,Sludge Bomb,Poison,90.0,1.0,False
Beedrill,,Aerial Ace,Flying,60.0,1.0,False
Beedrill,,Facade,Normal,70.0,1.0,False
Beedrill,,Secret Power,Normal,70.0,1.0,False
Beedrill,,Thief,Dark,40.0,1.0,False
Pidgey,1.0,Tackle,Normal,35.0,0.95,False
Pidgey,9.0,Gust,Flying,40.0,1.0,False
Pidgey,13.0,Quick Attack,Normal,40.0,1.0,False
Pidgey,25.0,Wing Attack,Flying,60.0,1.0,False
Pidgey,,Fly,Flying,70.0,0.95,False
Pidgey,,Hidden Power,Normal,60.0,1.0,False
Pidgey,,Return,Normal,102.0,1.0,False
Pidgey,,Aerial Ace,Flying,60.0,1.0,False
Pidgey,,Facade,Normal,70.0,1.0,False
Pidgey,,Secret Power,Normal,70.0,1.0,False
Pidgey,,Thief,Dark,40.0,1.0,False
Pidgey,,Steel Wing,Steel,70.0,0.9,False
Pidgeotto,1.0,Gust,Flying,40.0,1.0,False
Pidgeotto,1.0,Tackle,Normal,35.0,0.95,False
Pidgeotto,13.0,Quick Attack,Normal,40.0,1.0,False
Pidgeotto,27.0,Wing Attack,Flying,60.0,1.0,False
Pidgeotto,,Fly,Flying,70.0,0.95,False
Pidgeotto,,Hidden Power,Normal,60.0,1.0,False
Pidgeotto,,Return,Normal,102.0,1.0,False
Pidgeotto,,Aerial Ace,Flying,60.0,1.0,False
Pidgeotto,,Facade,Normal,70.0,1.0,False
Pidgeotto,,Secret Power,Normal,70.0,1.0,False
Pidgeotto,,Thief,Dark,40.0,1.0,False
Pidgeotto,,Steel Wing,Steel,70.0,0.9,False
Pidgeot,1.0,Gust,Flying,40.0,1.0,False
Pidgeot,1.0,Quick Attack,Normal,40.0,1.0,False
Pidgeot,1.0,Tackle,Normal,35.0,0.95,False
Pidgeot,27.0,Wing Attack,Flying,60.0,1.0,False
Pidgeot,,Fly,Flying,70.0,0.95,False
Pidgeot,,Hidden Power,Normal,60.0,1.0,False
Pidgeot,,Hyper Beam,Normal,75.0,0.9,False
Pidgeot,,Return,Normal,102.0,1.0,False
Pidgeot,,Aerial Ace,Flying,60.0,1.0,False
Pidgeot,,Facade,Normal,70.0,1.0,False
Pidgeot,,Secret Power,Normal,70.0,1.0,False
Pidgeot,,Thief,Dark,40.0,1.0,False
Pidgeot,,Steel Wing,Steel,70.0,0.9,False
Rattata,1.0,Tackle,Normal,35.0,0.95,False
Rattata,7.0,Quick Attack,Normal,40.0,1.0,False
Rattata,13.0,Hyper Fang,Normal,80.0,0.9,False
Rattata,27.0,Pursuit,Dark,40.0,1.0,False
Rattata,,Cut,Normal,50.0,0.95,False
Rattata,,Rock Smash,Fighting,20.0,1.0,False
Rattata,,Hidden Power,Normal,60.0,1.0,False
Rattata,,Ice Beam,Ice,95.0,1.0,False
Rattata,,Blizzard,Ice,120.0,0.7,False
Rattata,,Iron Tail,Steel,100.0,0.75,False
Rattata,,Thunderbolt,Electric,95.0,1.0,False
Rattata,,Thunder,Electric,120.0,0.7,False
Rattata,,Return,Normal,102.0,1.0,False
Rattata,,Dig,Ground,60.0,1.0,False
Rattata,,Shadow Ball,Ghost,80.0,1.0,False
Rattata,,Shock Wave,Electric,60.0,1.0,False
Rattata,,Facade,Normal,70.0,1.0,False
Rattata,,Secret Power,Normal,70.0,1.0,False
Rattata,,Thief,Dark,40.0,1.0,False
Raticate,1.0,Quick Attack,Normal,40.0,1.0,False
Raticate,1.0,Tackle,Normal,35.0,0.95,False
Raticate,13.0,Hyper Fang,Normal,80.0,0.9,False
Raticate,30.0,Pursuit,Dark,40.0,1.0,False
Raticate,,Cut,Normal,50.0,0.95,False
Raticate,,Strength,Normal,80.0,1.0,False
Raticate,,Rock Smash,Fighting,20.0,1.0,False
Raticate,,Hidden Power,Normal,60.0,1.0,False
Raticate,,Ice Beam,Ice,95.0,1.0,False
Raticate,,Blizzard,Ice,120.0,0.7,False
Raticate,,Hyper Beam,Normal,75.0,0.9,False
Raticate,,Iron Tail,Steel,100.0,0.75,False
Raticate,,Thunderbolt,Electric,95.0,1.0,False
Raticate,,Thunder,Electric,120.0,0.7,False
Raticate,,Return,Normal,102.0,1.0,False
Raticate,,Dig,Ground,60.0,1.0,False
Raticate,,Shadow Ball,Ghost,80.0,1.0,False
Raticate,,Shock Wave,Electric,60.0,1.0,False
Raticate,,Facade,Normal,70.0,1.0,False
Raticate,,Secret Power,Normal,70.0,1.0,False
Raticate,,Thief,Dark,40.0,1.0,False
Spearow,1.0,Peck,Flying,35.0,1.0,False
Spearow,13.0,Fury Attack,Normal,45.0,0.85,False
Spearow,19.0,Pursuit,Dark,40.0,1.0,False
Spearow,25.0,Aerial Ace,Flying,60.0,1.0,False
Spearow,37.0,Drill Peck,Flying,80.0,1.0,False
Spearow,,Fly,Flying,70.0,0.95,False
Spearow,,Hidden Power,Normal,60.0,1.0,False
Spearow,,Return,Normal,102.0,1.0,False
Spearow,,Facade,Normal,70.0,1.0,False
Spearow,,Secret Power,Normal,70.0,1.0,False
Spearow,,Thief,Dark,40.0,1.0,False
Spearow,,Steel Wing,Steel,70.0,0.9,False
Fearow,1.0,Fury Attack,Normal,45.0,0.85,False
Fearow,1.0,Peck,Flying,35.0,1.0,False
Fearow,26.0,Pursuit,Dark,40.0,1.0,False
Fearow,40.0,Drill Peck,Flying,80.0,1.0,False
Fearow,,Fly,Flying,70.0,0.95,False
Fearow,,Hidden Power,Normal,60.0,1.0,False
Fearow,,Hyper Beam,Normal,75.0,0.9,False
Fearow,,Return,Normal,102.0,1.0,False
Fearow,,Aerial Ace,Flying,60.0,1.0,False
Fearow,,Facade,Normal,70.0,1.0,False
Fearow,,Secret Power,Normal,70.0,1.0,False
Fearow,,Thief,Dark,40.0,1.0,False
Fearow,,Steel Wing,Steel,70.0,0.9,False
Ekans,1.0,Wrap,Normal,15.0,0.85,False
Ekans,8.0,Poison Sting,Poison,15.0,1.0,False
Ekans,13.0,Bite,Dark,60.0,1.0,False
Ekans,32.0,Acid,Poison,40.0,1.0,False
Ekans,,Strength,Normal,80.0,1.0,False
Ekans,,Hidden Power,Normal,60.0,1.0,False
Ekans,,Giga Drain,Grass,60.0,1.0,False
Ekans,,Iron Tail,Steel,100.0,0.75,False
Ekans,,Earthquake,Ground,100.0,1.0,False
Ekans,,Return,Normal,102.0,1.0,False
Ekans,,Dig,Ground,60.0,1.0,False
Ekans,,Sludge Bomb,Poison,90.0,1.0,False
Ekans,,Facade,Normal,70.0,1.0,False
Ekans,,Secret Power,Normal,70.0,1.0,False
Ekans,,Thief,Dark,40.0,1.0,False
Arbok,1.0,Bite,Dark,60.0,1.0,False
Arbok,1.0,Poison Sting,Poison,15.0,1.0,False
Arbok,1.0,Wrap,Normal,15.0,0.85,False
Arbok,38.0,Acid,Poison,40.0,1.0,False
Arbok,,Strength,Normal,80.0,1.0,False
Arbok,,Hidden Power,Normal,60.0,1.0,False
Arbok,,Hyper Beam,Normal,75.0,0.9,False
Arbok,,Giga Drain,Grass,60.0,1.0,False
Arbok,,Iron Tail,Steel,100.0,0.75,False
Arbok,,Earthquake,Ground,100.0,1.0,False
Arbok,,Return,Normal,102.0,1.0,False
Arbok,,Dig,Ground,60.0,1.0,False
Arbok,,Sludge Bomb,Poison,90.0,1.0,False
Arbok,,Facade,Normal,70.0,1.0,False
Arbok,,Secret Power,Normal,70.0,1.0,False
Arbok,,Thief,Dark,40.0,1.0,False
Pikachu,1.0,ThunderShock,Electric,40.0,1.0,False
Pikachu,11.0,Quick Attack,Normal,40.0,1.0,False
Pikachu,20.0,Slam,Normal,80.0,0.75,False
Pikachu,26.0,Thunderbolt,Electric,95.0,1.0,False
Pikachu,41.0,Thunder,Electric,120.0,0.7,False
Pikachu,,Strength,Normal,80.0,1.0,False
Pikachu,,Rock Smash,Fighting,20.0,1.0,False
Pikachu,,Hidden Power,Normal,60.0,1.0,False
Pikachu,,Iron Tail,Steel,100.0,0.75,False
Pikachu,,Return,Normal,102.0,1.0,False
Pikachu,,Dig,Ground,60.0,1.0,False
Pikachu,,Brick Break,Fighting,75.0,1.0,False
Pikachu,,Shock Wave,Electric,60.0,1.0,False
Pikachu,,Facade,Normal,70.0,1.0,False
Pikachu,,Secret Power,Normal,70.0,1.0,False
Raichu,1.0,Quick Attack,Normal,40.0,1.0,False
Raichu,1.0,ThunderShock,Electric,40.0,1.0,False
Raichu,1.0,Thunderbolt,Electric,95.0,1.0,False
Raichu,,Strength,Normal,80.0,1.0,False
Raichu,,Rock Smash,Fighting,20.0,1.0,False
Raichu,,Hidden Power,Normal,60.0,1.0,False
Raichu,,Hyper Beam,Normal,75.0,0.9,False
Raichu,,Iron Tail,Steel,100.0,0.75,False
Raichu,,Thunder,Electric,120.0,0.7,False
Raichu,,Return,Normal,102.0,1.0,False
Raichu,,Dig,Ground,60.0,1.0,False
Raichu,,Brick Break,Fighting,75.0,1.0,False
Raichu,,Shock Wave,Electric,60.0,1.0,False
Raichu,,Facade,Normal,70.0,1.0,False
Raichu,,Secret Power,Normal,70.0,1.0,False
Raichu,,Thief,Dark,40.0,1.0,False
Pichu,1.0,ThunderShock,Electric,40.0,1.0,False
Pichu,,Hidden Power,Normal,60.0,1.0,False
Pichu,,Iron Tail,Steel,100.0,0.75,False
Pichu,,Thunderbolt,Electric,95.0,1.0,False
Pichu,,Thunder,Electric,120.0,0.7,False
Pichu,,Return,Normal,102.0,1.0,False
Pichu,,Shock Wave,Electric,60.0,1.0,False
Pichu,,Facade,Normal,70.0,1.0,False
Pichu,,Secret Power,Normal,70.0,1.0,False
Sandshrew,1.0,Scratch,Normal,40.0,1.0,False
Sandshrew,17.0,Poison Sting,Poison,15.0,1.0,False
Sandshrew,23.0,Slash,Normal,70.0,1.0,True
Sandshrew,30.0,Swift,Normal,60.0,1.0,False
Sandshrew,37.0,Fury Swipes,Normal,54.0,0.8,False
Sandshrew,45.0,Sand Tomb,Ground,15.0,0.7,False
Sandshrew,,Cut,Normal,50.0,0.95,False
Sandshrew,,Strength,Normal,80.0,1.0,False
Sandshrew,,Rock Smash,Fighting,20.0,1.0,False
Sandshrew,,Hidden Power,Normal,60.0,1.0,False
Sandshrew,,Iron Tail,Steel,100.0,0.75,False
Sandshrew,,Earthquake,Ground,100.0,1.0,False
Sandshrew,,Return,Normal,102.0,1.0,False
Sandshrew,,Dig,Ground,60.0,1.0,False
Sandshrew,,Brick Break,Fighting,75.0,1.0,False
Sandshrew,,Rock Tomb,Rock,50.0,0.8,False
Sandshrew,,Aerial Ace,Flying,60.0,1.0,False
Sandshrew,,Facade,Normal,70.0,1.0,False
Sandshrew,,Secret Power,Normal,70.0,1.0,False
Sandshrew,,Thief,Dark,40.0,1.0,False
Sandslash,1.0,Scratch,Normal,40.0,1.0,False
Sandslash,17.0,Poison Sting,Poison,15.0,1.0,False
Sandslash,24.0,Slash,Normal,70.0,1.0,True
Sandslash,33.0,Swift,Normal,60.0,1.0,False
Sandslash,42.0,Fury Swipes,Normal,54.0,0.8,False
Sandslash,52.0,Sand Tomb,Ground,15.0,0.7,False
Sandslash,,Cut,Normal,50.0,0.95,False
Sandslash,,Strength,Normal,80.0,1.0,False
Sandslash,,Rock Smash,Fighting,20.0,1.0,False
Sandslash,,Hidden Power,Normal,60.0,1.0,False
Sandslash,,Hyper Beam,Normal,75.0,0.9,False
Sandslash,,Iron Tail,Steel,100.0,0.75,False
Sandslash,,Earthquake,Ground,100.0,1.0,False
Sandslash,,Return,Normal,102.0,1.0,False
Sandslash,,Dig,Ground,60.0,1.0,False
Sandslash,,Brick Break,Fighting,75.0,1.0,False
Sandslash,,Rock Tomb,Rock,50.0,0.8,False
Sandslash,,Aerial Ace,Flying,60.0,1.0,False
Sandslash,,Facade,Normal,70.0,1.0,False
Sandslash,,Secret Power,Normal,70.0,1.0,False
Sandslash,,Thief,Dark,40.0,1.0,False
Nidoran_f,1.0,Scratch,Normal,40.0,1.0,False
Nidoran_f,12.0,Double Kick,Fighting,60.0,1.0,False
Nidoran_f,17.0,Poison Sting,Poison,15.0,1.0,False
Nidoran_f,20.0,Bite,Dark,60.0,1.0,False
Nidoran_f,30.0,Fury Swipes,Normal,54.0,0.8,False
Nidoran_f,47.0,Crunch,Dark,80.0,1.0,False
Nidoran_f,,Cut,Normal,50.0,0.95,False
Nidoran_f,,Strength,Normal,80.0,1.0,False
Nidoran_f,,Rock Smash,Fighting,20.0,1.0,False
Nidoran_f,,Water Pulse,Water,60.0,1.0,False
Nidoran_f,,Hidden Power,Normal,60.0,1.0,False
Nidoran_f,,Ice Beam,Ice,95.0,1.0,False
Nidoran_f,,Blizzard,Ice,120.0,0.7,False
Nidoran_f,,Iron Tail,Steel,100.0,0.75,False
Nidoran_f,,Thunderbolt,Electric,95.0,1.0,False
Nidoran_f,,Thunder,Electric,120.0,0.7,False
Nidoran_f,,Return,Normal,102.0,1.0,False
Nidoran_f,,Dig,Ground,60.0,1.0,False
Nidoran_f,,Shock Wave,Electric,60.0,1.0,False
Nidoran_f,,Sludge Bomb,Poison,90.0,1.0,False
Nidoran_f,,Aerial Ace,Flying,60.0,1.0,False
Nidoran_f,,Facade,Normal,70.0,1.0,False
Nidoran_f,,Secret Power,Normal,70.0,1.0,False
Nidoran_f,,Thief,Dark,40.0,1.0,False
Nidorina,1.0,Scratch,Normal,40.0,1.0,False
Nidorina,12.0,Double Kick,Fighting,60.0,1.0,False
Nidorina,18.0,Poison Sting,Poison,15.0,1.0,False
Nidorina,22.0,Bite,Dark,60.0,1.0,False
Nidorina,34.0,Fury Swipes,Normal,54.0,0.8,False
Nidorina,53.0,Crunch,Dark,80.0,1.0,False
Nidorina,,Cut,Normal,50.0,0.95,False
Nidorina,,Strength,Normal,80.0,1.0,False
Nidorina,,Rock Smash,Fighting,20.0,1.0,False
Nidorina,,Water Pulse,Water,60.0,1.0,False
Nidorina,,Hidden Power,Normal,60.0,1.0,False
Nidorina,,Ice Beam,Ice,95.0,1.0,False
Nidorina,,Blizzard,Ice,120.0,0.7,False
Nidorina,,Iron Tail,Steel,100.0,0.75,False
Nidorina,,Thunderbolt,Electric,95.0,1.0,False
Nidorina,,Thunder,Electric,120.0,0.7,False
Nidorina,,Return,Normal,102.0,1.0,False
Nidorina,,Dig,Ground,60.0,1.0,False
Nidorina,,Shock Wave,Electric,60.0,1.0,False
Nidorina,,Sludge Bomb,Poison,90.0,1.0,False
Nidorina,,Aerial Ace,Flying,60.0,1.0,False
Nidorina,,Facade,Normal,70.0,1.0,False
Nidorina,,Secret Power,Normal,70.0,1.0,False
Nidorina,,Thief,Dark,40.0,1.0,False
Nidoqueen,1.0,Double Kick,Fighting,60.0,1.0,False
Nidoqueen,1.0,Poison Sting,Poison,15.0,1.0,False
Nidoqueen,1.0,Scratch,Normal,40.0,1.0,False
Nidoqueen,23.0,Body Slam,Normal,85.0,1.0,False
Nidoqueen,,Cut,Normal,50.0,0.95,False
Nidoqueen,,Surf,Water,95.0,1.0,False
Nidoqueen,,Strength,Normal,80.0,1.0,False
Nidoqueen,,Rock Smash,Fighting,20.0,1.0,False
Nidoqueen,,Water Pulse,Water,60.0,1.0,False
Nidoqueen,,Hidden Power,Normal,60.0,1.0,False
Nidoqueen,,Ice Beam,Ice,95.0,1.0,False
Nidoqueen,,Blizzard,Ice,120.0,0.7,False
Nidoqueen,,Hyper Beam,Normal,75.0,0.9,False
Nidoqueen,,Iron Tail,Steel,100.0,0.75,False
Nidoqueen,,Thunderbolt,Electric,95.0,1.0,False
Nidoqueen,,Thunder,Electric,120.0,0.7,False
Nidoqueen,,Earthquake,Ground,100.0,1.0,False
Nidoqueen,,Return,Normal,102.0,1.0,False
Nidoqueen,,Dig,Ground,60.0,1.0,False
Nidoqueen,,Shadow Ball,Ghost,80.0,1.0,False
Nidoqueen,,Brick Break,Fighting,75.0,1.0,False
Nidoqueen,,Shock Wave,Electric,60.0,1.0,False
Nidoqueen,,Flamethrower,Fire,95.0,1.0,False
Nidoqueen,,Sludge Bomb,Poison,90.0,1.0,False
Nidoqueen,,Fire Blast,Fire,120.0,0.85,False
Nidoqueen,,Rock Tomb,Rock,50.0,0.8,False
Nidoqueen,,Aerial Ace,Flying,60.0,1.0,False
Nidoqueen,,Facade,Normal,70.0,1.0,False
Nidoqueen,,Secret Power,Normal,70.0,1.0,False
Nidoqueen,,Thief,Dark,40.0,1.0,False
