pokemon,lvl,move,type,power,accuracy,crit
Squirtle,,Waterfall,Water,80,1.0,False
Squirtle,,DynamicPunch,Fighting,100,0.5,False
Squirtle,,Headbutt,Normal,70,1.0,False
Squirtle,,Rollout,Rock,30,0.9,False
Squirtle,,Rock Smash,Fighting,20,1.0,False
Squirtle,,Hidden Power,Normal,60,1.0,False
Squirtle,,Snore,Normal,40,1.0,False
Squirtle,,Blizzard,Ice,120,0.7,False
Squirtle,,Icy Wind,Ice,55,0.95,False
Squirtle,,Iron Tail,Steel,100,0.75,False
Squirtle,,Return,Normal,102,1.0,False
Squirtle,,Dig,Ground,60,1.0,False
Squirtle,,Mud-Slap,Ground,20,1.0,False
Squirtle,,Ice Punch,Ice,75,1.0,False
Wartortle,1.0,Bubble,Water,20,1.0,False
Wartortle,1.0,Tackle,Normal,35,0.95,False
Wartortle,13.0,Water Gun,Water,40,1.0,False
Wartortle,19.0,Bite,Dark,60,1.0,False
Wartortle,25.0,Rapid Spin,Normal,20,1.0,False
Wartortle,53.0,Hydro Pump,Water,120,0.8,False
Wartortle,,Surf,Water,95,1.0,False
Wartortle,,Strength,Normal,80,1.0,False
Wartortle,,Whirlpool,Water,15,0.7,False
Wartortle,,Waterfall,Water,80,1.0,False
Wartortle,,DynamicPunch,Fighting,100,0.5,False
Wartortle,,Headbutt,Normal,70,1.0,False
Wartortle,,Rollout,Rock,30,0.9,False
Wartortle,,Rock Smash,Fighting,20,1.0,False
Wartortle,,Hidden Power,Normal,60,1.0,False
Wartortle,,Snore,Normal,40,1.0,False
Wartortle,,Blizzard,Ice,120,0.7,False
Wartortle,,Icy Wind,Ice,55,0.95,False
Wartortle,,Iron Tail,Steel,100,0.75,False
Wartortle,,Return,Normal,102,1.0,False
Wartortle,,Dig,Ground,60,1.0,False
Wartortle,,Mud-Slap,Ground,20,1.0,False
Wartortle,,Ice Punch,Ice,75,1.0,False
Blastoise,1.0,Bubble,Water,20,1.0,False
Blastoise,1.0,Tackle,Normal,35,0.95,False
Blastoise,13.0,Water Gun,Water,40,1.0,False
Blastoise,19.0,Bite,Dark,60,1.0,False
Blastoise,25.0,Rapid Spin,Normal,20,1.0,False
Blastoise,68.0,Hydro Pump,Water,120,0.8,False
Blastoise,,Surf,Water,95,1.0,False
Blastoise,,Strength,Normal,80,1.0,False
Blastoise,,Whirlpool,Water,15,0.7,False
Blastoise,,Waterfall,Water,80,1.0,False
Blastoise,,DynamicPunch,Fighting,100,0.5,False
Blastoise,,Headbutt,Normal,70,1.0,False
Blastoise,,Rollout,Rock,30,0.9,False
Blastoise,,Rock Smash,Fighting,20,1.0,False
Blastoise,,Hidden Power,Normal,60,1.0,False
Blastoise,,Snore,Normal,40,1.0,False
Blastoise,,Blizzard,Ice,120,0.7,False
Blastoise,,Hyper Beam,Normal,75,0.9,False
Blastoise,,Icy Wind,Ice,55,0.95,False
Blastoise,,Iron Tail,Steel,100,0.75,False
Blastoise,,Earthquake,Ground,100,1.0,False
Blastoise,,Return,Normal,102,1.0,False
Blastoise,,Dig,Ground,60,1.0,False
Blastoise,,Mud-Slap,Ground,20,1.0,False
Blastoise,,Ice Punch,Ice,75,1.0,False
Caterpie,1.0,Tackle,Normal,35,0.95,False
Metapod,0.0,Struggle,Normal,1,1.0,False
Butterfree,1.0,Confusion,Psychic,50,1.0,False
Butterfree,28.0,Gust,Flying,40,1.0,False
Butterfree,34.0,Psybeam,Psychic,65,1.0,False
Butterfree,,Hidden Power,Normal,60,1.0,False
Butterfree,,Snore,Normal,40,1.0,False
Butterfree,,Hyper Beam,Normal,75,0.9,False
Butterfree,,Giga Drain,Grass,60,1.0,False
Butterfree,,Return,Normal,102,1.0,False
Butterfree,,Psychic,Psychic,90,1.0,False
Butterfree,,Swift,Normal,60,1.0,False
Weedle,1.0,Poison Sting,Poison,15,1.0,False
Kakuna,0.0,Struggle,Normal,1,1.0,False
Beedrill,1.0,Fury Attack,Normal,45,0.85,False
Beedrill,20.0,Twineedle,Bug,25,1.0,False
Beedrill,25.0,Rage,Normal,20,1.0,False
Beedrill,30.0,Pursuit,Dark,40,1.0,False
Beedrill,35.0,Pin Missile,Bug,42,0.85,False
Beedrill,,Cut,Normal,50,0.95,False
Beedrill,,Hidden Power,Normal,60,1.0,False
Beedrill,,Snore,Normal,40,1.0,False
Beedrill,,Hyper Beam,Normal,75,0.9,False
Beedrill,,Giga Drain,Grass,60,1.0,False
Beedrill,,Return,Normal,102,1.0,False
Beedrill,,Sludge Bomb,Poison,90,1.0,False
Beedrill,,Swift,Normal,60,1.0,False
Beedrill,,Fury Cutter,Bug,10,0.95,False
Pidgey,1.0,Tackle,Normal,35,0.95,False
Pidgey,9.0,Gust,Flying,40,1.0,False
Pidgey,15.0,Quick Attack,Normal,40,1.0,False
Pidgey,29.0,Wing Attack,Flying,60,1.0,False
Pidgey,,Fly,Flying,70,0.95,False
Pidgey,,Hidden Power,Normal,60,1.0,False
Pidgey,,Snore,Normal,40,1.0,False
Pidgey,,Return,Normal,102,1.0,False
Pidgey,,Mud-Slap,Ground,20,1.0,False
Pidgey,,Swift,Normal,60,1.0,False
Pidgey,,Thief,Dark,40,1.0,False
Pidgey,,Steel Wing,Steel,70,0.9,False
Pidgeotto,1.0,Gust,Flying,40,1.0,False
Pidgeotto,1.0,Tackle,Normal,35,0.95,False
Pidgeotto,15.0,Quick Attack,Normal,40,1.0,False
Pidgeotto,33.0,Wing Attack,Flying,60,1.0,False
Pidgeotto,,Fly,Flying,70,0.95,False
Pidgeotto,,Hidden Power,Normal,60,1.0,False
Pidgeotto,,Snore,Normal,40,1.0,False
Pidgeotto,,Return,Normal,102,1.0,False
Pidgeotto,,Mud-Slap,Ground,20,1.0,False
Pidgeotto,,Swift,Normal,60,1.0,False
Pidgeotto,,Thief,Dark,40,1.0,False
Pidgeotto,,Steel Wing,Steel,70,0.9,False
Pidgeot,1.0,Gust,Flying,40,1.0,False
Pidgeot,1.0,Quick Attack,Normal,40,1.0,False
Pidgeot,1.0,Tackle,Normal,35,0.95,False
Pidgeot,33.0,Wing Attack,Flying,60,1.0,False
Pidgeot,,Fly,Flying,70,0.95,False
Pidgeot,,Hidden Power,Normal,60,1.0,False
Pidgeot,,Snore,Normal,40,1.0,False
Pidgeot,,Hyper Beam,Normal,75,0.9,False
Pidgeot,,Return,Normal,102,1.0,False
Pidgeot,,Mud-Slap,Ground,20,1.0,False
Pidgeot,,Swift,Normal,60,1.0,False
Pidgeot,,Thief,Dark,40,1.0,False
Pidgeot,,Steel Wing,Steel,70,0.9,False
Rattata,1.0,Tackle,Normal,35,0.95,False
Rattata,7.0,Quick Attack,Normal,40,1.0,False
Rattata,13.0,Hyper Fang,Normal,80,0.9,False
Rattata,27.0,Pursuit,Dark,40,1.0,False
Rattata,,Headbutt,Normal,70,1.0,False
Rattata,,Rock Smash,Fighting,20,1.0,False
Rattata,,Hidden Power,Normal,60,1.0,False
Rattata,,Snore,Normal,40,1.0,False
Rattata,,Blizzard,Ice,120,0.7,False
Rattata,,Icy Wind,Ice,55,0.95,False
Rattata,,Iron Tail,Steel,100,0.75,False
Rattata,,Thunder,Electric,120,0.7,False
Rattata,,Return,Normal,102,1.0,False
Rattata,,Dig,Ground,60,1.0,False
Rattata,,Shadow Ball,Ghost,80,1.0,False
Rattata,,Mud-Slap,Ground,20,1.0,False
Rattata,,Swift,Normal,60,1.0,False
Rattata,,Thief,Dark,40,1.0,False
Raticate,1.0,Quick Attack,Normal,40,1.0,False
Raticate,1.0,Tackle,Normal,35,0.95,False
Raticate,13.0,Hyper Fang,Normal,80,0.9,False
Raticate,30.0,Pursuit,Dark,40,1.0,False
Raticate,,Cut,Normal,50,0.95,False
Raticate,,Strength,Normal,80,1.0,False
Raticate,,Headbutt,Normal,70,1.0,False
Raticate,,Rock Smash,Fighting,20,1.0,False
Raticate,,Hidden Power,Normal,60,1.0,False
Raticate,,Snore,Normal,40,1.0,False
Raticate,,Blizzard,Ice,120,0.7,False
Raticate,,Hyper Beam,Normal,75,0.9,False
Raticate,,Icy Wind,Ice,55,0.95,False
Raticate,,Iron Tail,Steel,100,0.75,False
Raticate,,Thunder,Electric,120,0.7,False
Raticate,,Return,Normal,102,1.0,False
Raticate,,Dig,Ground,60,1.0,False
Raticate,,Shadow Ball,Ghost,80,1.0,False
Raticate,,Mud-Slap,Ground,20,1.0,False
Raticate,,Swift,Normal,60,1.0,False
Raticate,,Thief,Dark,40,1.0,False
Spearow,1.0,Peck,Flying,35,1.0,False
Spearow,13.0,Fury Attack,Normal,45,0.85,False
Spearow,25.0,Pursuit,Dark,40,1.0,False
Spearow,37.0,Drill Peck,Flying,80,1.0,False
Spearow,,Fly,Flying,70,0.95,False
Spearow,,Hidden Power,Normal,60,1.0,False
Spearow,,Snore,Normal,40,1.0,False
Spearow,,Return,Normal,102,1.0,False
Spearow,,Mud-Slap,Ground,20,1.0,False
Spearow,,Swift,Normal,60,1.0,False
Spearow,,Thief,Dark,40,1.0,False
Spearow,,Steel Wing,Steel,70,0.9,False
Fearow,1.0,Fury Attack,Normal,45,0.85,False
Fearow,1.0,Peck,Flying,35,1.0,False
Fearow,26.0,Pursuit,Dark,40,1.0,False
Fearow,40.0,Drill Peck,Flying,80,1.0,False
Fearow,,Fly,Flying,70,0.95,False
Fearow,,Hidden Power,Normal,60,1.0,False
Fearow,,Snore,Normal,40,1.0,False
Fearow,,Hyper Beam,Normal,75,0.9,False
Fearow,,Return,Normal,102,1.0,False
Fearow,,Mud-Slap,Ground,20,1.0,False
Fearow,,Swift,Normal,60,1.0,False
Fearow,,Thief,Dark,40,1.0,False
Fearow,,Steel Wing,Steel,70,0.9,False
Ekans,1.0,Wrap,Normal,15,0.85,False
Ekans,9.0,Poison Sting,Poison,15,1.0,False
Ekans,15.0,Bite,Dark,60,1.0,False
Ekans,37.0,Acid,Poison,40,1.0,False
Ekans,,Strength,Normal,80,1.0,False
Ekans,,Headbutt,Normal,70,1.0,False
Ekans,,Hidden Power,Normal,60,1.0,False
Ekans,,Snore,Normal,40,1.0,False
Ekans,,Giga Drain,Grass,60,1.0,False
Ekans,,Earthquake,Ground,100,1.0,False
Ekans,,Return,Normal,102,1.0,False
Ekans,,Dig,Ground,60,1.0,False
Ekans,,Sludge Bomb,Poison,90,1.0,False
Ekans,,Thief,Dark,40,1.0,False
Arbok,1.0,Bite,Dark,60,1.0,False
Arbok,1.0,Poison Sting,Poison,15,1.0,False
Arbok,1.0,Wrap,Normal,15,0.85,False
Arbok,43.0,Acid,Poison,40,1.0,False
Arbok,,Strength,Normal,80,1.0,False
Arbok,,Headbutt,Normal,70,1.0,False
Arbok,,Hidden Power,Normal,60,1.0,False
Arbok,,Snore,Normal,40,1.0,False
Arbok,,Hyper Beam,Normal,75,0.9,False
Arbok,,Giga Drain,Grass,60,1.0,False
Arbok,,Earthquake,Ground,100,1.0,False
Arbok,,Return,Normal,102,1.0,False
Arbok,,Dig,Ground,60,1.0,False
Arbok,,Sludge Bomb,Poison,90,1.0,False
Arbok,,Thief,Dark,40,1.0,False
Pikachu,1.0,ThunderShock,Electric,40,1.0,False
Pikachu,11.0,Quick Attack,Normal,40,1.0,False
Pikachu,20.0,Slam,Normal,80,0.75,False
Pikachu,26.0,Thunderbolt,Electric,95,1.0,False
Pikachu,41.0,Thunder,Electric,120,0.7,False
Pikachu,,Strength,Normal,80,1.0,False
Pikachu,,DynamicPunch,Fighting,100,0.5,False
Pikachu,,Headbutt,Normal,70,1.0,False
Pikachu,,Rollout,Rock,30,0.9,False
Pikachu,,Zap Cannon,Electric,100,0.5,False
Pikachu,,Hidden Power,Normal,60,1.0,False
Pikachu,,Snore,Normal,40,1.0,False
Pikachu,,Iron Tail,Steel,100,0.75,False
Pikachu,,Return,Normal,102,1.0,False
Pikachu,,Mud-Slap,Ground,20,1.0,False
Pikachu,,Swift,Normal,60,1.0,False
Pikachu,,ThunderPunch,Electric,75,1.0,False
Raichu,1.0,Quick Attack,Normal,40,1.0,False
Raichu,1.0,ThunderShock,Electric,40,1.0,False
Raichu,1.0,Thunderbolt,Electric,95,1.0,False
Raichu,,Strength,Normal,80,1.0,False
Raichu,,DynamicPunch,Fighting,100,0.5,False
Raichu,,Headbutt,Normal,70,1.0,False
Raichu,,Rollout,Rock,30,0.9,False
Raichu,,Zap Cannon,Electric,100,0.5,False
Raichu,,Hidden Power,Normal,60,1.0,False
Raichu,,Snore,Normal,40,1.0,False
Raichu,,Hyper Beam,Normal,75,0.9,False
Raichu,,Iron Tail,Steel,100,0.75,False
Raichu,,Thunder,Electric,120,0.7,False
Raichu,,Return,Normal,102,1.0,False
Raichu,,Mud-Slap,Ground,20,1.0,False
Raichu,,Swift,Normal,60,1.0,False
Raichu,,ThunderPunch,Electric,75,1.0,False
Raichu,,Thief,Dark,40,1.0,False
Pichu,1.0,ThunderShock,Electric,40,1.0,False
Pichu,,Headbutt,Normal,70,1.0,False
Pichu,,Rollout,Rock,30,0.9,False
Pichu,,Zap Cannon,Electric,100,0.5,False
Pichu,,Hidden Power,Normal,60,1.0,False
Pichu,,Snore,Normal,40,1.0,False
Pichu,,Iron Tail,Steel,100,0.75,False
Pichu,,Thunder,Electric,120,0.7,False
Pichu,,Return,Normal,102,1.0,False
Pichu,,Mud-Slap,Ground,20,1.0,False
Pichu,,Swift,Normal,60,1.0,False
Sandshrew,1.0,Scratch,Normal,40,1.0,False
Sandshrew,17.0,Poison Sting,Poison,15,1.0,False
Sandshrew,23.0,Slash,Normal,70,1.0,True
Sandshrew,30.0,Swift,Normal,60,1.0,False
Sandshrew,37.0,Fury Swipes,Normal,54,0.8,False
Sandshrew,,Cut,Normal,50,0.95,False
Sandshrew,,Strength,Normal,80,1.0,False
Sandshrew,,DynamicPunch,Fighting,100,0.5,False
Sandshrew,,Headbutt,Normal,70,1.0,False
Sandshrew,,Rollout,Rock,30,0.9,False
Sandshrew,,Rock Smash,Fighting,20,1.0,False
Sandshrew,,Hidden Power,Normal,60,1.0,False
Sandshrew,,Snore,Normal,40,1.0,False
Sandshrew,,Iron Tail,Steel,100,0.75,False
Sandshrew,,Earthquake,Ground,100,1.0,False
Sandshrew,,Return,Normal,102,1.0,False
Sandshrew,,Dig,Ground,60,1.0,False
Sandshrew,,Mud-Slap,Ground,20,1.0,False
Sandshrew,,Thief,Dark,40,1.0,False
Sandshrew,,Fury Cutter,Bug,10,0.95,False
Sandslash,1.0,Scratch,Normal,40,1.0,False
Sandslash,17.0,Poison Sting,Poison,15,1.0,False
Sandslash,24.0,Slash,Normal,70,1.0,True
Sandslash,33.0,Swift,Normal,60,1.0,False
Sandslash,42.0,Fury Swipes,Normal,54,0.8,False
Sandslash,,Cut,Normal,50,0.95,False
Sandslash,,Strength,Normal,80,1.0,False
Sandslash,,DynamicPunch,Fighting,100,0.5,False
Sandslash,,Headbutt,Normal,70,1.0,False
Sandslash,,Rollout,Rock,30,0.9,False
Sandslash,,Rock Smash,Fighting,20,1.0,False
Sandslash,,Hidden Power,Normal,60,1.0,False
Sandslash,,Snore,Normal,40,1.0,False
Sandslash,,Hyper Beam,Normal,75,0.9,False
Sandslash,,Iron Tail,Steel,100,0.75,False
Sandslash,,Earthquake,Ground,100,1.0,False
Sandslash,,Return,Normal,102,1.0,False
Sandslash,,Dig,Ground,60,1.0,False
Sandslash,,Mud-Slap,Ground,20,1.0,False
Sandslash,,Thief,Dark,40,1.0,False
Sandslash,,Fury Cutter,Bug,10,0.95,False
Nidoran_f,1.0,Tackle,Normal,35,0.95,False
Nidoran_f,8.0,Scratch,Normal,40,1.0,False
Nidoran_f,12.0,Double Kick,Fighting,60,1.0,False
Nidoran_f,17.0,Poison Sting,Poison,15,1.0,False
Nidoran_f,30.0,Bite,Dark,60,1.0,False
Nidoran_f,38.0,Fury Swipes,Normal,54,0.8,False
Nidoran_f,,Headbutt,Normal,70,1.0,False
Nidoran_f,,Hidden Power,Normal,60,1.0,False
Nidoran_f,,Snore,Normal,40,1.0,False
Nidoran_f,,Blizzard,Ice,120,0.7,False
Nidoran_f,,Iron Tail,Steel,100,0.75,False
Nidoran_f,,Thunder,Electric,120,0.7,False
Nidoran_f,,Return,Normal,102,1.0,False
Nidoran_f,,Mud-Slap,Ground,20,1.0,False
Nidoran_f,,Thief,Dark,40,1.0,False
Nidorina,1.0,Tackle,Normal,35,0.95,False
Nidorina,8.0,Scratch,Normal,40,1.0,False
Nidorina,12.0,Double Kick,Fighting,60,1.0,False
Nidorina,19.0,Poison Sting,Poison,15,1.0,False
Nidorina,36.0,Bite,Dark,60,1.0,False
Nidorina,46.0,Fury Swipes,Normal,54,0.8,False
Nidorina,,Strength,Normal,80,1.0,False
Nidorina,,Headbutt,Normal,70,1.0,False
Nidorina,,Rock Smash,Fighting,20,1.0,False
Nidorina,,Hidden Power,Normal,60,1.0,False
Nidorina,,Snore,Normal,40,1.0,False
Nidorina,,Blizzard,Ice,120,0.7,False
Nidorina,,Iron Tail,Steel,100,0.75,False
Nidorina,,Thunder,Electric,120,0.7,False
Nidorina,,Return,Normal,102,1.0,False
Nidorina,,Mud-Slap,Ground,20,1.0,False
Nidorina,,Thief,Dark,40,1.0,False
Nidoqueen,1.0,Double Kick,Fighting,60,1.0,False
Nidoqueen,1.0,Scratch,Normal,40,1.0,False
Nidoqueen,1.0,Tackle,Normal,35,0.95,False
Nidoqueen,23.0,Body Slam,Normal,85,1.0,False
Nidoqueen,,Surf,Water,95,1.0,False
Nidoqueen,,Strength,Normal,80,1.0,False
Nidoqueen,,DynamicPunch,Fighting,100,0.5,False
Nidoqueen,,Headbutt,Normal,70,1.0,False
Nidoqueen,,Rock Smash,Fighting,20,1.0,False
Nidoqueen,,Hidden Power,Normal,60,1.0,False
Nidoqueen,,Snore,Normal,40,1.0,False
Nidoqueen,,Blizzard,Ice,120,0.7,False
Nidoqueen,,Hyper Beam,Normal,75,0.9,False
Nidoqueen,,Icy Wind,Ice,55,0.95,False
Nidoqueen,,Iron Tail,Steel,100,0.75,False
Nidoqueen,,Thunder,Electric,120,0.7,False
Nidoqueen,,Earthquake,Ground,100,1.0,False
Nidoqueen,,Return,Normal,102,1.0,False
Nidoqueen,,Shadow Ball,Ghost,80,1.0,False
Nidoqueen,,Mud-Slap,Ground,20,1.0,False
Nidoqueen,,Ice Punch,Ice,75,1.0,False
Nidoqueen,,Fire Blast,Fire,120,0.85,False
Nidoqueen,,ThunderPunch,Electric,75,1.0,False
Nidoqueen,,Thief,Dark,40,1.0,False
Nidoqueen,,Fire Punch,Fire,75,1.0,False
Nidoqueen,,Fury Cutter,Bug,10,0.95,False
Nidoran_m,1.0,Tackle,Normal,35,0.95,False
Nidoran_m,8.0,Horn Attack,Normal,65,1.0,False
Nidoran_m,12.0,Double Kick,Fighting,60,1.0,False
Nidoran_m,17.0,Poison Sting,Poison,15,1.0,False
Nidoran_m,30.0,Fury Attack,Normal,45,0.85,False
Nidoran_m,,Headbutt,Normal,70,1.0,False
Nidoran_m,,Hidden Power,Normal,60,1.0,False
Nidoran_m,,Snore,Normal,40,1.0,False
Nidoran_m,,Blizzard,Ice,120,0.7,False
Nidoran_m,,Iron Tail,Steel,100,0.75,False
Nidoran_m,,Thunder,Electric,120,0.7,False
Nidoran_m,,Return,Normal,102,1.0,False
Nidoran_m,,Mud-Slap,Ground,20,1.0,False
Nidoran_m,,Thief,Dark,40,1.0,False
Nidorino,1.0,Tackle,Normal,35,0.95,False
Nidorino,8.0,Horn Attack,Normal,65,1.0,False
Nidorino,12.0,Double Kick,Fighting,60,1.0,False
Nidorino,19.0,Poison Sting,Poison,15,1.0,False
Nidorino,36.0,Fury Attack,Normal,45,0.85,False
Nidorino,,Strength,Normal,80,1.0,False
Nidorino,,Headbutt,Normal,70,1.0,False
Nidorino,,Rock Smash,Fighting,20,1.0,False
Nidorino,,Hidden Power,Normal,60,1.0,False
Nidorino,,Snore,Normal,40,1.0,False
Nidorino,,Blizzard,Ice,120,0.7,False
Nidorino,,Iron Tail,Steel,100,0.75,False
Nidorino,,Thunder,Electric,120,0.7,False
Nidorino,,Return,Normal,102,1.0,False
Nidorino,,Mud-Slap,Ground,20,1.0,False
Nidorino,,Thief,Dark,40,1.0,False
Nidoking,1.0,Double Kick,Fighting,60,1.0,False
Nidoking,1.0,Horn Attack,Normal,65,1.0,False
Nidoking,1.0,Poison Sting,Poison,15,1.0,False
Nidoking,1.0,Tackle,Normal,35,0.95,False
Nidoking,23.0,Thrash,Normal,90,1.0,False
Nidoking,,Surf,Water,95,1.0,False
Nidoking,,Strength,Normal,80,1.0,False
Nidoking,,DynamicPunch,Fighting,100,0.5,False
Nidoking,,Headbutt,Normal,70,1.0,False
Nidoking,,Rock Smash,Fighting,20,1.0,False
Nidoking,,Hidden Power,Normal,60,1.0,False
Nidoking,,Snore,Normal,40,1.0,False
Nidoking,,Blizzard,Ice,120,0.7,False
Nidoking,,Hyper Beam,Normal,75,0.9,False
Nidoking,,Icy Wind,Ice,55,0.95,False
Nidoking,,Iron Tail,Steel,100,0.75,False
Nidoking,,Thunder,Electric,120,0.7,False
Nidoking,,Earthquake,Ground,100,1.0,False
Nidoking,,Return,Normal,102,1.0,False
Nidoking,,Shadow Ball,Ghost,80,1.0,False
Nidoking,,Mud-Slap,Ground,20,1.0,False
Nidoking,,Ice Punch,Ice,75,1.0,False
Nidoking,,Fire Blast,Fire,120,0.85,False
Nidoking,,ThunderPunch,Electric,75,1.0,False
Nidoking,,Thief,Dark,40,1.0,False
Nidoking,,Fire Punch,Fire,75,1.0,False
Nidoking,,Fury Cutter,Bug,10,0.95,False
Clefairy,1.0,Pound,Normal,40,1.0,False
Clefairy,13.0,DoubleSlap,Normal,15,0.85,False
Clefairy,,Strength,Normal,80,1.0,False
Clefairy,,DynamicPunch,Fighting,100,0.5,False
Clefairy,,Headbutt,Normal,70,1.0,False
