pokemon,move_name,move_level,tm
Charmeleon,Smokescreen,13,
Charmeleon,Defense Curl,0,machine
Charmeleon,Fire Blast,0,machine
Charmeleon,Swift,0,machine
Charmeleon,Rest,0,machine
Charmeleon,Slash,41,
Charmeleon,Snore,0,machine
Charmeleon,Curse,0,machine
Charmeleon,Protect,0,machine
Charmeleon,Scary Face,27,
Charmeleon,Mud Slap,0,machine
Charmeleon,Endure,0,machine
Charmeleon,Swagger,0,machine
Charmeleon,Fury Cutter,0,machine
Charmeleon,Attract,0,machine
Charmeleon,Sleep Talk,0,machine
Charmeleon,Return,0,machine
Charmeleon,Frustration,0,machine
Charmeleon,Dynamic Punch,0,machine
Charmeleon,Dragon Breath,0,machine
Charmeleon,Iron Tail,0,machine
Charmeleon,Hidden Power,0,machine
Charmeleon,Sunny Day,0,machine
Charmeleon,Rock Smash,0,machine
Charizard,Fire Punch,0,machine
Charizard,Scratch,1,
Charizard,Cut,0,machine
Charizard,Wing Attack,36,
Charizard,Fly,0,machine
Charizard,Headbutt,0,machine
Charizard,Growl,1,
Charizard,Roar,0,machine
Charizard,Ember,1,
Charizard,Flamethrower,34,
Charizard,Hyper Beam,0,machine
Charizard,Strength,0,machine
Charizard,Dragon Rage,54,
Charizard,Fire Spin,64,
Charizard,Earthquake,0,machine
Charizard,Dig,0,machine
Charizard,Toxic,0,machine
Charizard,Rage,20,
Charizard,Double Team,0,machine
Charizard,Smokescreen,1,
Charizard,Defense Curl,0,machine
Charizard,Fire Blast,0,machine
Charizard,Swift,0,machine
Charizard,Rest,0,machine
Charizard,Slash,44,
Charizard,Snore,0,machine
Charizard,Curse,0,machine
Charizard,Protect,0,machine
Charizard,Scary Face,27,
Charizard,Mud Slap,0,machine
Charizard,Sandstorm,0,machine
Charizard,Endure,0,machine
Charizard,Swagger,0,machine
Charizard,Fury Cutter,0,machine
Charizard,Steel Wing,0,machine
Charizard,Attract,0,machine
Charizard,Sleep Talk,0,machine
Charizard,Return,0,machine
Charizard,Frustration,0,machine
Charizard,Dynamic Punch,0,machine
Charizard,Dragon Breath,0,machine
Charizard,Iron Tail,0,machine
Charizard,Hidden Power,0,machine
Charizard,Sunny Day,0,machine
Charizard,Rock Smash,0,machine
Squirtle,Ice Punch,0,machine
Squirtle,Headbutt,0,machine
Squirtle,Tackle,1,
Squirtle,Tail Whip,4,
Squirtle,Bite,18,
Squirtle,Water Gun,13,
Squirtle,Hydro Pump,47,
Squirtle,Surf,0,machine
Squirtle,Ice Beam,0,tutor
Squirtle,Blizzard,0,machine
Squirtle,Strength,0,machine
Squirtle,Dig,0,machine
Squirtle,Toxic,0,machine
Squirtle,Double Team,0,machine
Squirtle,Withdraw,10,
Squirtle,Defense Curl,0,machine
Squirtle,Waterfall,0,machine
Squirtle,Skull Bash,40,
Squirtle,Bubble,7,
Squirtle,Rest,0,machine
Squirtle,Snore,0,machine
Squirtle,Curse,0,machine
Squirtle,Protect,28,
Squirtle,Mud Slap,0,machine
Squirtle,Icy Wind,0,machine
Squirtle,Endure,0,machine
Squirtle,Rollout,0,machine
Squirtle,Swagger,0,machine
Squirtle,Attract,0,machine
Squirtle,Sleep Talk,0,machine
Squirtle,Return,0,machine
Squirtle,Frustration,0,machine
Squirtle,Dynamic Punch,0,machine
Squirtle,Rapid Spin,23,
Squirtle,Iron Tail,0,machine
Squirtle,Hidden Power,0,machine
Squirtle,Rain Dance,33,
Squirtle,Rock Smash,0,machine
Squirtle,Whirlpool,0,machine
Wartortle,Ice Punch,0,machine
Wartortle,Headbutt,0,machine
Wartortle,Tackle,1,
Wartortle,Tail Whip,1,
Wartortle,Bite,19,
Wartortle,Water Gun,13,
Wartortle,Hydro Pump,53,
Wartortle,Surf,0,machine
Wartortle,Ice Beam,0,tutor
Wartortle,Blizzard,0,machine
Wartortle,Strength,0,machine
Wartortle,Dig,0,machine
Wartortle,Toxic,0,machine
Wartortle,Double Team,0,machine
Wartortle,Withdraw,10,
Wartortle,Defense Curl,0,machine
Wartortle,Waterfall,0,machine
Wartortle,Skull Bash,45,
Wartortle,Bubble,1,
Wartortle,Rest,0,machine
Wartortle,Snore,0,machine
Wartortle,Curse,0,machine
Wartortle,Protect,31,
Wartortle,Mud Slap,0,machine
Wartortle,Icy Wind,0,machine
Wartortle,Endure,0,machine
Wartortle,Rollout,0,machine
Wartortle,Swagger,0,machine
Wartortle,Attract,0,machine
Wartortle,Sleep Talk,0,machine
Wartortle,Return,0,machine
Wartortle,Frustration,0,machine
Wartortle,Dynamic Punch,0,machine
Wartortle,Rapid Spin,25,
Wartortle,Iron Tail,0,machine
Wartortle,Hidden Power,0,machine
Wartortle,Rain Dance,37,
Wartortle,Rock Smash,0,machine
Wartortle,Whirlpool,0,machine
Blastoise,Ice Punch,0,machine
Blastoise,Headbutt,0,machine
Blastoise,Tackle,1,
Blastoise,Tail Whip,1,
Blastoise,Bite,19,
Blastoise,Roar,0,machine
Blastoise,Water Gun,13,
Blastoise,Hydro Pump,68,
Blastoise,Surf,0,machine
Blastoise,Ice Beam,0,tutor
Blastoise,Blizzard,0,machine
Blastoise,Hyper Beam,0,machine
Blastoise,Strength,0,machine
Blastoise,Earthquake,0,machine
Blastoise,Dig,0,machine
Blastoise,Toxic,0,machine
Blastoise,Double Team,0,machine
Blastoise,Withdraw,1,
Blastoise,Defense Curl,0,machine
Blastoise,Waterfall,0,machine
Blastoise,Skull Bash,55,
Blastoise,Bubble,1,
Blastoise,Rest,0,machine
Blastoise,Snore,0,machine
Blastoise,Curse,0,machine
Blastoise,Protect,31,
Blastoise,Mud Slap,0,machine
Blastoise,Icy Wind,0,machine
Blastoise,Endure,0,machine
Blastoise,Rollout,0,machine
Blastoise,Swagger,0,machine
Blastoise,Attract,0,machine
Blastoise,Sleep Talk,0,machine
Blastoise,Return,0,machine
Blastoise,Frustration,0,machine
Blastoise,Dynamic Punch,0,machine
Blastoise,Rapid Spin,25,
Blastoise,Iron Tail,0,machine
Blastoise,Hidden Power,0,machine
Blastoise,Rain Dance,42,
Blastoise,Rock Smash,0,machine
Blastoise,Whirlpool,0,machine
Caterpie,Tackle,1,
Caterpie,String Shot,1,
Metapod,Harden,1,
Butterfree,Gust,28,
Butterfree,Whirlwind,23,
Butterfree,Supersonic,18,
Butterfree,Psybeam,34,
Butterfree,Hyper Beam,0,machine
Butterfree,SolarBeam,0,machine
Butterfree,PoisonPowder,13,
Butterfree,Stun Spore,14,
Butterfree,Sleep Powder,15,
Butterfree,Toxic,0,machine
Butterfree,Confusion,1,
Butterfree,Psychic,0,machine
Butterfree,Double Team,0,machine
Butterfree,Swift,0,machine
Butterfree,Flash,0,machine
Butterfree,Rest,0,machine
Butterfree,Nightmare,0,machine
Butterfree,Snore,0,machine
Butterfree,Curse,0,machine
Butterfree,Protect,0,machine
Butterfree,Giga Drain,0,machine
Butterfree,Endure,0,machine
Butterfree,Swagger,0,machine
Butterfree,Attract,0,machine
Butterfree,Sleep Talk,0,machine
Butterfree,Return,0,machine
Butterfree,Frustration,0,machine
Butterfree,Safeguard,40,
Butterfree,Sweet Scent,0,machine
Butterfree,Hidden Power,0,machine
Butterfree,Sunny Day,0,machine
Weedle,Poison Sting,1,
Weedle,String Shot,1,
Kakuna,Harden,1,
Beedrill,Cut,0,machine
Beedrill,Fury Attack,1,
Beedrill,Twineedle,20,
Beedrill,Pin Missile,35,
Beedrill,Hyper Beam,0,machine
Beedrill,Toxic,0,machine
Beedrill,Agility,40,
Beedrill,Rage,25,
Beedrill,Double Team,0,machine
Beedrill,Focus Energy,15,
Beedrill,Swift,0,machine
Beedrill,Rest,0,machine
Beedrill,Snore,0,machine
Beedrill,Curse,0,machine
Beedrill,Protect,0,machine
Beedrill,Sludge Bomb,0,machine
Beedrill,Giga Drain,0,machine
Beedrill,Endure,0,machine
Beedrill,Swagger,0,machine
Beedrill,Fury Cutter,0,machine
Beedrill,Attract,0,machine
Beedrill,Sleep Talk,0,machine
Beedrill,Return,0,machine
Beedrill,Frustration,0,machine
Beedrill,Pursuit,30,
Beedrill,Sweet Scent,0,machine
Beedrill,Hidden Power,0,machine
Beedrill,Sunny Day,0,machine
Pidgey,Gust,9,
Pidgey,Wing Attack,29,
Pidgey,Whirlwind,21,
Pidgey,Fly,0,machine
Pidgey,Sand-Attack,5,
Pidgey,Tackle,1,
Pidgey,Toxic,0,machine
Pidgey,Agility,37,
Pidgey,Quick Attack,15,
Pidgey,Double Team,0,machine
Pidgey,Mirror Move,47,
Pidgey,Swift,0,machine
Pidgey,Rest,0,machine
Pidgey,Thief,0,machine
Pidgey,Snore,0,machine
Pidgey,Curse,0,machine
Pidgey,Protect,0,machine
Pidgey,Mud Slap,0,machine
Pidgey,Detect,0,machine
Pidgey,Endure,0,machine
Pidgey,Swagger,0,machine
Pidgey,Steel Wing,0,machine
Pidgey,Attract,0,machine
Pidgey,Sleep Talk,0,machine
Pidgey,Return,0,machine
Pidgey,Frustration,0,machine
Pidgey,Hidden Power,0,machine
Pidgey,Sunny Day,0,machine
Pidgeotto,Gust,1,
Pidgeotto,Wing Attack,33,
Pidgeotto,Whirlwind,23,
Pidgeotto,Fly,0,machine
Pidgeotto,Sand-Attack,1,
Pidgeotto,Tackle,1,
Pidgeotto,Toxic,0,machine
Pidgeotto,Agility,43,
Pidgeotto,Quick Attack,15,
Pidgeotto,Double Team,0,machine
Pidgeotto,Mirror Move,55,
Pidgeotto,Swift,0,machine
Pidgeotto,Rest,0,machine
Pidgeotto,Thief,0,machine
Pidgeotto,Snore,0,machine
Pidgeotto,Curse,0,machine
Pidgeotto,Protect,0,machine
Pidgeotto,Mud Slap,0,machine
Pidgeotto,Detect,0,machine
Pidgeotto,Endure,0,machine
Pidgeotto,Swagger,0,machine
Pidgeotto,Steel Wing,0,machine
Pidgeotto,Attract,0,machine
Pidgeotto,Sleep Talk,0,machine
Pidgeotto,Return,0,machine
Pidgeotto,Frustration,0,machine
Pidgeotto,Hidden Power,0,machine
Pidgeotto,Sunny Day,0,machine
Pidgeot,Gust,1,
Pidgeot,Wing Attack,33,
Pidgeot,Whirlwind,23,
Pidgeot,Fly,0,machine
Pidgeot,Sand-Attack,1,
Pidgeot,Tackle,1,
Pidgeot,Hyper Beam,0,machine
Pidgeot,Toxic,0,machine
Pidgeot,Agility,46,
Pidgeot,Quick Attack,1,
Pidgeot,Double Team,0,machine
Pidgeot,Mirror Move,61,
Pidgeot,Swift,0,machine
Pidgeot,Rest,0,machine
Pidgeot,Thief,0,machine
Pidgeot,Snore,0,machine
Pidgeot,Curse,0,machine
Pidgeot,Protect,0,machine
Pidgeot,Mud Slap,0,machine
Pidgeot,Detect,0,machine
Pidgeot,Endure,0,machine
Pidgeot,Swagger,0,machine
Pidgeot,Steel Wing,0,machine
Pidgeot,Attract,0,machine
Pidgeot,Sleep Talk,0,machine
Pidgeot,Return,0,machine
Pidgeot,Frustration,0,machine
Pidgeot,Hidden Power,0,machine
Pidgeot,Sunny Day,0,machine
Rattata,Headbutt,0,machine
Rattata,Tackle,1,
Rattata,Tail Whip,1,
Rattata,Blizzard,0,machine
Rattata,Thunder,0,machine
Rattata,Dig,0,machine
Rattata,Toxic,0,machine
Rattata,Quick Attack,7,
Rattata,Double Team,0,machine
Rattata,Defense Curl,0,machine
Rattata,Focus Energy,20,
Rattata,Swift,0,machine
Rattata,Rest,0,machine
Rattata,Hyper Fang,13,
Rattata,Super Fang,34,
Rattata,Thief,0,machine
Rattata,Snore,0,machine
Rattata,Curse,0,machine
Rattata,Protect,0,machine
Rattata,Mud Slap,0,machine
Rattata,Icy Wind,0,machine
Rattata,Endure,0,machine
Rattata,Swagger,0,machine
Rattata,Attract,0,machine
Rattata,Sleep Talk,0,machine
Rattata,Return,0,machine
Rattata,Frustration,0,machine
Rattata,Pursuit,27,
Rattata,Iron Tail,0,machine
Rattata,Hidden Power,0,machine
Rattata,Sunny Day,0,machine
Rattata,Shadow Ball,0,machine
Rattata,Rock Smash,0,machine
Raticate,Cut,0,machine
Raticate,Headbutt,0,machine
Raticate,Tackle,1,
Raticate,Tail Whip,1,
Raticate,Roar,0,machine
Raticate,Ice Beam,0,tutor
Raticate,Blizzard,0,machine
Raticate,Hyper Beam,0,machine
Raticate,Strength,0,machine
Raticate,Thunderbolt,0,tutor
Raticate,Thunder,0,machine
Raticate,Dig,0,machine
Raticate,Toxic,0,machine
Raticate,Quick Attack,1,
Raticate,Double Team,0,machine
Raticate,Defense Curl,0,machine
Raticate,Swift,0,machine
Raticate,Rest,0,machine
Raticate,Hyper Fang,13,
Raticate,Super Fang,40,
Raticate,Thief,0,machine
Raticate,Snore,0,machine
Raticate,Curse,0,machine
Raticate,Protect,0,machine
Raticate,Scary Face,20,
Raticate,Mud Slap,0,machine
Raticate,Icy Wind,0,machine
Raticate,Endure,0,machine
Raticate,Swagger,0,machine
Raticate,Attract,0,machine
Raticate,Sleep Talk,0,machine
Raticate,Return,0,machine
Raticate,Frustration,0,machine
Raticate,Pursuit,30,
Raticate,Iron Tail,0,machine
Raticate,Hidden Power,0,machine
Raticate,Sunny Day,0,machine
Raticate,Shadow Ball,0,machine
Raticate,Rock Smash,0,machine
Spearow,Fly,0,machine
Spearow,Fury Attack,13,
Spearow,Leer,7,
Spearow,Growl,1,
Spearow,Peck,1,
Spearow,Drill Peck,37,
Spearow,Toxic,0,machine
Spearow,Agility,43,
Spearow,Double Team,0,machine
Spearow,Mirror Move,31,
Spearow,Swift,0,machine
Spearow,Rest,0,machine
Spearow,Thief,0,machine
Spearow,Snore,0,machine
Spearow,Curse,0,machine
Spearow,Protect,0,machine
Spearow,Mud Slap,0,machine
Spearow,Detect,0,machine
Spearow,Endure,0,machine
Spearow,Swagger,0,machine
Spearow,Steel Wing,0,machine
Spearow,Attract,0,machine
Spearow,Sleep Talk,0,machine
Spearow,Return,0,machine
Spearow,Frustration,0,machine
Spearow,Pursuit,25,
Spearow,Hidden Power,0,machine
Spearow,Sunny Day,0,machine
Fearow,Fly,0,machine
Fearow,Fury Attack,1,
Fearow,Leer,1,
Fearow,Growl,1,
Fearow,Hyper Beam,0,machine
Fearow,Peck,1,
Fearow,Drill Peck,40,
Fearow,Toxic,0,machine
Fearow,Agility,47,
Fearow,Double Team,0,machine
Fearow,Mirror Move,32,
Fearow,Swift,0,machine
Fearow,Rest,0,machine
Fearow,Thief,0,machine
Fearow,Snore,0,machine
Fearow,Curse,0,machine
Fearow,Protect,0,machine
Fearow,Mud Slap,0,machine
Fearow,Detect,0,machine
Fearow,Endure,0,machine
Fearow,Swagger,0,machine
Fearow,Steel Wing,0,machine
Fearow,Attract,0,machine
Fearow,Sleep Talk,0,machine
Fearow,Return,0,machine
Fearow,Frustration,0,machine
Fearow,Pursuit,26,
Fearow,Hidden Power,0,machine
Fearow,Sunny Day,0,machine
Ekans,Headbutt,0,machine
Ekans,Wrap,1,
Ekans,Poison Sting,9,
Ekans,Leer,1,
Ekans,Bite,15,
Ekans,Acid,37,
Ekans,Strength,0,machine
Ekans,Earthquake,0,machine
Ekans,Dig,0,machine
Ekans,Toxic,0,machine
Ekans,Screech,29,
Ekans,Double Team,0,machine
Ekans,Haze,43,
Ekans,Glare,23,
Ekans,Rest,0,machine
Ekans,Thief,0,machine
Ekans,Snore,0,machine
Ekans,Curse,0,machine
Ekans,Protect,0,machine
Ekans,Sludge Bomb,0,machine
Ekans,Giga Drain,0,machine
Ekans,Endure,0,machine
Ekans,Swagger,0,machine
Ekans,Attract,0,machine
Ekans,Sleep Talk,0,machine
Ekans,Return,0,machine
Ekans,Frustration,0,machine
Ekans,Hidden Power,0,machine
Ekans,Sunny Day,0,machine
Arbok,Headbutt,0,machine
Arbok,Wrap,1,
Arbok,Poison Sting,1,
Arbok,Leer,1,
Arbok,Bite,1,
Arbok,Acid,43,
Arbok,Hyper Beam,0,machine
Arbok,Strength,0,machine
Arbok,Earthquake,0,machine
Arbok,Dig,0,machine
Arbok,Toxic,0,machine
Arbok,Screech,33,
Arbok,Double Team,0,machine
Arbok,Haze,51,
Arbok,Glare,25,
Arbok,Rest,0,machine
Arbok,Thief,0,machine
Arbok,Snore,0,machine
Arbok,Curse,0,machine
Arbok,Protect,0,machine
Arbok,Sludge Bomb,0,machine
Arbok,Giga Drain,0,machine
Arbok,Endure,0,machine
Arbok,Swagger,0,machine
Arbok,Attract,0,machine
Arbok,Sleep Talk,0,machine
Arbok,Return,0,machine
Arbok,Frustration,0,machine
Arbok,Hidden Power,0,machine
Arbok,Sunny Day,0,machine
Pikachu,ThunderPunch,0,machine
Pikachu,Slam,20,
Pikachu,Headbutt,0,machine
Pikachu,Tail Whip,6,
Pikachu,Growl,1,
Pikachu,Strength,0,machine
Pikachu,ThunderShock,1,
Pikachu,Thunderbolt,26,
Pikachu,Thunder Wave,8,
Pikachu,Thunder,41,
Pikachu,Toxic,0,machine
Pikachu,Agility,33,
Pikachu,Quick Attack,11,
Pikachu,Double Team,15,
Pikachu,Defense Curl,0,machine
Pikachu,Light Screen,50,
Pikachu,Swift,0,machine
Pikachu,Flash,0,machine
Pikachu,Rest,0,machine
Pikachu,Snore,0,machine
Pikachu,Curse,0,machine
Pikachu,Protect,0,machine
Pikachu,Mud Slap,0,machine
Pikachu,Zap Cannon,0,machine
Pikachu,Detect,0,machine
Pikachu,Endure,0,machine
Pikachu,Rollout,0,machine
Pikachu,Swagger,0,machine
Pikachu,Attract,0,machine
Pikachu,Sleep Talk,0,machine
Pikachu,Return,0,machine
Pikachu,Frustration,0,machine
Pikachu,Dynamic Punch,0,machine
Pikachu,Iron Tail,0,machine
Pikachu,Hidden Power,0,machine
Pikachu,Rain Dance,0,machine
Raichu,ThunderPunch,0,machine
Raichu,Headbutt,0,machine
Raichu,Tail Whip,1,
Raichu,Hyper Beam,0,machine
Raichu,Strength,0,machine
Raichu,ThunderShock,1,
Raichu,Thunderbolt,1,
Raichu,Thunder,0,machine
Raichu,Toxic,0,machine
Raichu,Quick Attack,1,
Raichu,Double Team,0,machine
Raichu,Defense Curl,0,machine
Raichu,Swift,0,machine
Raichu,Flash,0,machine
Raichu,Rest,0,machine
Raichu,Thief,0,machine
Raichu,Snore,0,machine
Raichu,Curse,0,machine
Raichu,Protect,0,machine
Raichu,Mud Slap,0,machine
Raichu,Zap Cannon,0,machine
Raichu,Detect,0,machine
Raichu,Endure,0,machine
Raichu,Rollout,0,machine
Raichu,Swagger,0,machine
Raichu,Attract,0,machine
Raichu,Sleep Talk,0,machine
Raichu,Return,0,machine
Raichu,Frustration,0,machine
Raichu,Dynamic Punch,0,machine
Raichu,Iron Tail,0,machine
Raichu,Hidden Power,0,machine
Raichu,Rain Dance,0,machine
Sandshrew,Scratch,1,
Sandshrew,Cut,0,machine
Sandshrew,Sand-Attack,11,
Sandshrew,Headbutt,0,machine
Sandshrew,Poison Sting,17,
Sandshrew,Strength,0,machine
Sandshrew,Earthquake,0,machine
Sandshrew,Dig,0,machine
Sandshrew,Toxic,0,machine
Sandshrew,Double Team,0,machine
Sandshrew,Defense Curl,6,
Sandshrew,Swift,30,
Sandshrew,Fury Swipes,37,
Sandshrew,Rest,0,machine
Sandshrew,Slash,23,
Sandshrew,Thief,0,machine
Sandshrew,Snore,0,machine
Sandshrew,Curse,0,machine
Sandshrew,Protect,0,machine
Sandshrew,Mud Slap,0,machine
Sandshrew,Detect,0,machine
Sandshrew,Sandstorm,45,
Sandshrew,Endure,0,machine
Sandshrew,Rollout,0,machine
Sandshrew,Swagger,0,machine
Sandshrew,Fury Cutter,0,machine
Sandshrew,Attract,0,machine
Sandshrew,Sleep Talk,0,machine
Sandshrew,Return,0,machine
Sandshrew,Frustration,0,machine
Sandshrew,Dynamic Punch,0,machine
Sandshrew,Iron Tail,0,machine
Sandshrew,Hidden Power,0,machine
Sandshrew,Sunny Day,0,machine
Sandshrew,Rock Smash,0,machine
Sandslash,Scratch,1,
Sandslash,Cut,0,machine
Sandslash,Sand-Attack,1,
Sandslash,Headbutt,0,machine
Sandslash,Poison Sting,17,
Sandslash,Hyper Beam,0,machine
Sandslash,Strength,0,machine
Sandslash,Earthquake,0,machine
Sandslash,Dig,0,machine
Sandslash,Toxic,0,machine
Sandslash,Double Team,0,machine
Sandslash,Defense Curl,1,
Sandslash,Swift,33,
Sandslash,Fury Swipes,42,
Sandslash,Rest,0,machine
Sandslash,Slash,24,
Sandslash,Thief,0,machine
Sandslash,Snore,0,machine
Sandslash,Curse,0,machine
Sandslash,Protect,0,machine
Sandslash,Mud Slap,0,machine
Sandslash,Detect,0,machine
Sandslash,Sandstorm,52,
Sandslash,Endure,0,machine
Sandslash,Rollout,0,machine
Sandslash,Swagger,0,machine
Sandslash,Fury Cutter,0,machine
Sandslash,Attract,0,machine
Sandslash,Sleep Talk,0,machine
Sandslash,Return,0,machine
Sandslash,Frustration,0,machine
Sandslash,Dynamic Punch,0,machine
Sandslash,Iron Tail,0,machine
Sandslash,Hidden Power,0,machine
Sandslash,Sunny Day,0,machine
Sandslash,Rock Smash,0,machine
Nidoran_f,Scratch,8,
Nidoran_f,Double Kick,12,
Nidoran_f,Headbutt,0,machine
Nidoran_f,Tackle,1,
Nidoran_f,Tail Whip,23,
Nidoran_f,Poison Sting,17,
Nidoran_f,Bite,30,
Nidoran_f,Growl,1,
Nidoran_f,Blizzard,0,machine
Nidoran_f,Thunderbolt,0,tutor
Nidoran_f,Thunder,0,machine
Nidoran_f,Toxic,0,machine
Nidoran_f,Double Team,0,machine
Nidoran_f,Defense Curl,0,machine
Nidoran_f,Fury Swipes,38,
Nidoran_f,Rest,0,machine
Nidoran_f,Thief,0,machine
Nidoran_f,Snore,0,machine
Nidoran_f,Curse,0,machine
Nidoran_f,Protect,0,machine
Nidoran_f,Mud Slap,0,machine
Nidoran_f,Detect,0,machine
Nidoran_f,Endure,0,machine
Nidoran_f,Swagger,0,machine
Nidoran_f,Attract,0,machine
Nidoran_f,Sleep Talk,0,machine
Nidoran_f,Return,0,machine
Nidoran_f,Frustration,0,machine
Nidoran_f,Iron Tail,0,machine
Nidoran_f,Hidden Power,0,machine
Nidoran_f,Rain Dance,0,machine
Nidoran_f,Sunny Day,0,machine
Nidorina,Scratch,8,
Nidorina,Double Kick,12,
Nidorina,Headbutt,0,machine
Nidorina,Tackle,1,
Nidorina,Tail Whip,27,
Nidorina,Poison Sting,19,
Nidorina,Bite,36,
Nidorina,Growl,1,
Nidorina,Ice Beam,0,tutor
Nidorina,Blizzard,0,machine
Nidorina,Strength,0,machine
Nidorina,Thunderbolt,0,tutor
Nidorina,Thunder,0,machine
Nidorina,Toxic,0,machine
Nidorina,Double Team,0,machine
Nidorina,Defense Curl,0,machine
Nidorina,Fury Swipes,46,
Nidorina,Rest,0,machine
Nidorina,Thief,0,machine
Nidorina,Snore,0,machine
Nidorina,Curse,0,machine
Nidorina,Protect,0,machine
