evo_id_pp,evo_index_pp,pokemon_pp,hp_pp_base,attack_pp_base,defense_pp_base,sp_attack_pp_base,sp_defense_pp_base,speed_pp_base,type_1_pp,type_2_pp,evo_lvl_pp,evo_item_stage_pp,stage_available_pp,legendary_pp,generation
36,2,dodrio,60,110,70,60,60,100,flying,normal,31,0.0,65.0,False,3
38,1,grimer,80,80,50,40,50,25,poison,,0,0.0,29.0,False,3
38,2,muk,105,105,75,65,100,50,poison,,38,0.0,29.0,False,3
39,2,cloyster,50,95,180,85,45,70,ice,water,0,73.0,999.0,False,3
44,1,voltorb,40,30,50,55,55,100,electric,,0,0.0,46.0,False,3
44,2,electrode,60,50,70,80,80,140,electric,,30,0.0,46.0,False,3
45,2,exeggutor,95,95,85,125,65,55,grass,psychic,0,57.0,999.0,False,3
50,1,koffing,40,65,95,60,45,35,poison,,0,0.0,29.0,False,3
50,2,weezing,65,90,120,85,70,60,poison,,35,0.0,29.0,False,3
51,1,rhyhorn,80,85,95,30,30,25,ground,rock,0,0.0,65.0,False,3
51,2,rhydon,105,130,120,45,45,40,ground,rock,42,0.0,65.0,False,3
55,1,horsea,30,40,70,70,25,60,water,,0,0.0,88.0,False,3
55,2,seadra,55,65,95,95,45,85,water,,32,0.0,88.0,False,3
55,3,kingdra,75,95,95,95,95,85,dragon,water,32,0.0,88.0,False,3
56,1,goldeen,45,67,60,35,50,63,water,,0,0.0,14.0,False,3
56,2,seaking,80,92,65,65,80,68,water,,33,0.0,14.0,False,3
57,1,staryu,30,45,55,70,55,85,water,,0,0.0,76.0,False,3
57,2,starmie,60,75,85,100,85,115,psychic,water,0,73.0,76.0,False,3
63,1,pinsir,65,125,100,55,70,85,bug,,0,0.0,65.0,False,3
65,1,magikarp,20,10,55,15,20,80,water,,0,0.0,14.0,False,3
65,2,gyarados,95,125,79,60,100,81,flying,water,20,0.0,14.0,False,3
67,1,ditto,48,48,48,48,48,48,normal,,0,0.0,93.0,False,3
68,2,vaporeon,130,65,60,110,95,65,water,,0,73.0,999.0,False,3
69,2,jolteon,65,65,60,110,95,130,electric,,0,46.0,999.0,False,3
70,2,flareon,65,130,60,95,110,65,fire,,0,44.0,999.0,False,3
81,1,mew,100,100,100,100,100,100,psychic,,0,0.0,93.0,True,3
82,1,chikorita,45,49,65,49,65,45,grass,,0,0.0,93.0,False,3
82,2,bayleef,60,62,80,63,80,60,grass,,16,0.0,93.0,False,3
82,3,meganium,80,82,100,83,100,80,grass,,32,0.0,93.0,False,3
83,1,cyndaquil,39,52,43,60,50,65,fire,,0,0.0,93.0,False,3
83,2,quilava,58,64,58,80,65,80,fire,,14,0.0,93.0,False,3
83,3,typhlosion,78,84,78,109,85,100,fire,,36,0.0,93.0,False,3
84,1,totodile,50,65,64,44,48,43,water,,0,0.0,93.0,False,3
84,2,croconaw,65,80,80,59,63,58,water,,18,0.0,93.0,False,3
84,3,feraligatr,85,105,100,79,83,78,water,,30,0.0,93.0,False,3
86,1,hoothoot,60,30,30,36,56,50,flying,normal,0,0.0,65.0,False,3
86,2,noctowl,100,50,50,76,96,70,flying,normal,20,0.0,65.0,False,3
87,1,ledyba,40,20,30,40,80,55,bug,flying,0,0.0,65.0,False,3
87,2,ledian,55,35,50,55,110,85,bug,flying,18,0.0,65.0,False,3
88,1,spinarak,40,60,40,40,40,30,bug,poison,0,0.0,65.0,False,3
88,2,ariados,70,90,70,60,60,40,bug,poison,22,0.0,65.0,False,3
89,1,chinchou,75,38,38,56,56,67,electric,water,0,0.0,78.0,False,3
89,2,lanturn,125,58,58,76,76,67,electric,water,27,0.0,78.0,False,3
91,1,natu,40,50,45,70,45,70,flying,psychic,0,0.0,65.0,False,3
91,2,xatu,65,75,70,95,70,95,flying,psychic,25,0.0,65.0,False,3
92,1,mareep,55,40,40,65,45,35,electric,,0,0.0,65.0,False,3
92,2,flaaffy,70,55,55,80,60,45,electric,,15,0.0,65.0,False,3
92,3,ampharos,90,75,75,115,90,55,electric,,30,0.0,65.0,False,3
93,1,oddish,45,50,55,75,75,30,grass,poison,0,0.0,19.0,False,3
93,2,gloom,60,65,70,85,85,40,grass,poison,21,0.0,19.0,False,3
93,3,bellossom,75,80,85,90,100,50,grass,,21,35.0,19.0,False,3
94,1,azurill,50,20,40,20,40,20,normal,,0,0.0,5.0,False,3
94,2,marill,70,20,50,20,50,40,water,,0,0.0,5.0,False,3
94,3,azumarill,100,50,80,50,80,50,water,,18,0.0,5.0,False,3
98,1,aipom,55,70,55,40,55,85,normal,,0,0.0,65.0,False,3
99,1,sunkern,30,30,30,30,30,30,grass,,0,0.0,65.0,False,3
99,2,sunflora,75,75,55,105,85,30,grass,,0,35.0,65.0,False,3
101,1,wooper,55,45,45,25,25,15,ground,water,0,0.0,65.0,False,3
101,2,quagsire,95,85,85,65,65,35,ground,water,20,0.0,65.0,False,3
108,1,wobbuffet,190,33,58,33,58,33,psychic,,0,0.0,65.0,False,3
109,1,girafarig,70,80,65,90,65,85,normal,psychic,0,0.0,65.0,False,3
110,1,pineco,50,65,90,35,35,15,bug,,0,0.0,65.0,False,3
110,2,forretress,75,90,140,60,60,40,bug,steel,31,0.0,65.0,False,3
112,1,gligar,65,75,105,35,65,85,flying,ground,0,0.0,65.0,False,3
113,1,snubbull,60,80,50,40,40,30,normal,,0,0.0,65.0,False,3
113,2,granbull,90,120,75,60,60,45,normal,,23,0.0,65.0,False,3
115,1,shuckle,20,10,230,10,230,5,bug,rock,0,0.0,65.0,False,3
116,1,heracross,80,125,75,40,95,85,bug,fighting,0,0.0,65.0,False,3
118,1,teddiursa,60,80,50,50,50,40,normal,,0,0.0,65.0,False,3
118,2,ursaring,90,130,75,75,75,55,normal,,30,0.0,65.0,False,3
119,1,slugma,40,40,40,70,40,20,fire,,0,0.0,29.0,False,3
119,2,magcargo,50,50,120,80,80,30,fire,rock,38,0.0,29.0,False,3
121,1,corsola,55,55,85,65,85,35,rock,water,0,0.0,82.0,False,3
122,1,remoraid,35,65,35,65,35,65,water,,0,0.0,65.0,False,3
122,2,octillery,75,105,75,105,75,45,water,,25,0.0,65.0,False,3
125,1,skarmory,65,80,140,40,70,70,flying,steel,0,0.0,31.0,False,3
126,1,houndour,45,60,30,80,50,65,dark,fire,0,0.0,65.0,False,3
126,2,houndoom,75,90,50,110,80,95,dark,fire,24,0.0,65.0,False,3
127,1,phanpy,90,60,60,40,40,40,ground,,0,0.0,65.0,False,3
127,2,donphan,90,120,120,60,60,50,ground,,25,0.0,65.0,False,3
128,1,stantler,73,95,62,85,65,85,normal,,0,0.0,65.0,False,3
129,1,smeargle,55,20,35,20,45,75,normal,,0,0.0,93.0,False,3
131,1,miltank,95,80,105,40,70,100,normal,,0,0.0,65.0,False,3
139,1,treecko,40,45,35,65,55,70,grass,,0,0.0,1.0,False,3
139,2,grovyle,50,65,45,85,65,95,grass,,16,0.0,1.0,False,3
139,3,sceptile,70,85,65,105,85,120,grass,,36,0.0,1.0,False,3
140,1,torchic,45,60,40,70,50,45,fire,,0,0.0,1.0,False,3
140,2,combusken,60,85,60,85,60,55,fighting,fire,16,0.0,1.0,False,3
140,3,blaziken,80,120,70,110,70,80,fighting,fire,36,0.0,1.0,False,3
141,1,mudkip,50,70,50,50,50,40,water,,0,0.0,1.0,False,3
141,2,marshtomp,70,85,70,60,70,50,ground,water,16,0.0,1.0,False,3
141,3,swampert,100,110,90,85,90,60,ground,water,36,0.0,1.0,False,3
142,1,poochyena,35,55,35,30,30,35,dark,,0,0.0,2.0,False,3
142,2,mightyena,70,90,70,60,60,70,dark,,18,0.0,2.0,False,3
143,1,zigzagoon,38,30,41,30,41,60,normal,,0,0.0,2.0,False,3
143,2,linoone,78,70,61,50,61,100,normal,,20,0.0,2.0,False,3
144,1,wurmple,45,45,35,20,30,20,bug,,0,0.0,2.0,False,3
144,2,silcoon,50,35,55,25,25,15,bug,,7,0.0,2.0,False,3
144,3,beautifly,60,70,50,90,50,65,bug,flying,10,0.0,2.0,False,3
145,1,wurmple,45,45,35,20,30,20,bug,,0,0.0,2.0,False,3
145,2,cascoon,50,35,55,25,25,15,bug,,7,0.0,2.0,False,3
145,3,dustox,60,50,70,50,90,65,bug,poison,10,0.0,2.0,False,3
146,1,lotad,40,30,30,40,50,30,grass,water,0,0.0,3.0,False,3
146,2,lombre,60,50,50,60,70,50,grass,water,14,0.0,3.0,False,3
146,3,ludicolo,80,70,70,90,100,70,grass,water,14,73.0,3.0,False,3
147,1,seedot,40,40,50,30,30,30,grass,,0,0.0,3.0,False,3
147,2,nuzleaf,70,70,40,60,40,60,dark,grass,14,0.0,3.0,False,3
147,3,shiftry,90,100,60,90,60,80,dark,grass,14,57.0,3.0,False,3
148,1,taillow,40,55,30,30,30,85,flying,normal,0,0.0,5.0,False,3
148,2,swellow,60,85,60,50,50,125,flying,normal,22,0.0,5.0,False,3
149,1,wingull,40,30,30,55,30,85,flying,water,0,0.0,5.0,False,3
149,2,pelipper,60,50,100,85,70,65,flying,water,25,0.0,5.0,False,3
150,1,ralts,28,25,25,45,35,40,fairy,psychic,0,0.0,3.0,False,3
150,2,kirlia,38,35,35,65,55,50,fairy,psychic,20,0.0,3.0,False,3
150,3,gardevoir,68,65,65,125,115,80,fairy,psychic,30,0.0,3.0,False,3
152,1,shroomish,60,40,60,40,60,35,grass,,0,0.0,6.0,False,3
152,2,breloom,60,130,80,60,60,70,fighting,grass,23,0.0,6.0,False,3
153,1,slakoth,60,60,60,35,35,30,normal,,0,0.0,6.0,False,3
153,2,vigoroth,80,80,80,55,55,90,normal,,18,0.0,6.0,False,3
153,3,slaking,150,160,100,95,65,100,normal,,36,0.0,6.0,False,3
154,1,nincada,31,45,90,30,30,40,bug,ground,0,0.0,10.0,False,3
154,2,ninjask,61,90,45,50,50,160,bug,flying,20,0.0,10.0,False,3
156,1,whismur,64,51,23,51,23,28,normal,,0,0.0,10.0,False,3
156,2,loudred,84,71,43,71,43,48,normal,,20,0.0,10.0,False,3
156,3,exploud,104,91,63,91,63,68,normal,,40,0.0,10.0,False,3
157,1,makuhita,72,60,30,20,30,25,fighting,,0,0.0,15.0,False,3
157,2,hariyama,144,120,60,40,60,50,fighting,,24,0.0,15.0,False,3
158,1,nosepass,30,45,135,45,90,30,rock,,0,0.0,22.0,False,3
159,1,skitty,50,45,45,35,35,50,normal,,0,0.0,10.0,False,3
159,2,delcatty,70,65,65,55,55,70,normal,,0,35.0,10.0,False,3
160,1,mawile,50,85,85,55,55,50,fairy,steel,0,0.0,15.0,False,3
160,2,sableye,50,75,75,65,65,50,dark,ghost,0,0.0,15.0,False,3
161,1,aron,50,70,100,40,40,30,rock,steel,0,0.0,15.0,False,3
161,2,lairon,60,90,140,50,50,40,rock,steel,32,0.0,15.0,False,3
161,3,aggron,70,110,180,60,60,50,rock,steel,42,0.0,15.0,False,3
163,1,electrike,40,45,40,65,40,65,electric,,0,0.0,19.0,False,3
163,2,manectric,70,75,60,105,60,105,electric,,26,0.0,19.0,False,3
164,1,plusle,60,50,40,85,75,95,electric,,0,0.0,19.0,False,3
165,1,minun,60,40,50,75,85,95,electric,,0,0.0,19.0,False,3
166,1,volbeat,65,73,55,47,75,85,bug,,0,0.0,37.0,False,3
167,1,illumise,65,47,55,73,75,85,bug,,0,0.0,37.0,False,3
169,1,gulpin,70,43,53,43,53,40,poison,,0,0.0,19.0,False,3
169,2,swalot,100,73,83,73,83,55,poison,,26,0.0,19.0,False,3
170,1,carvanha,45,90,20,65,20,65,dark,water,0,0.0,56.0,False,3
170,2,sharpedo,70,120,40,95,40,95,dark,water,30,0.0,56.0,False,3
171,1,wailmer,130,70,35,70,35,60,water,,0,0.0,56.0,False,3
171,2,wailord,170,90,45,90,45,60,water,,40,0.0,56.0,False,3
172,1,numel,60,60,40,65,45,35,fire,ground,0,0.0,28.0,False,3
172,2,camerupt,70,100,70,105,75,40,fire,ground,33,0.0,28.0,False,3
173,1,torkoal,70,85,140,85,70,20,fire,,0,0.0,29.0,False,3
174,1,spoink,60,25,35,70,80,60,psychic,,0,0.0,39.0,False,3
174,2,grumpig,80,45,65,90,110,80,psychic,,32,0.0,39.0,False,3
175,1,spinda,60,60,60,60,60,60,normal,,0,0.0,31.0,False,3
176,1,trapinch,45,100,45,45,45,10,ground,,0,0.0,44.0,False,3
176,2,vibrava,50,70,50,50,50,70,dragon,ground,35,0.0,44.0,False,3
176,3,flygon,80,100,80,80,80,100,dragon,ground,45,0.0,44.0,False,3
177,1,cacnea,50,85,40,85,40,35,grass,,0,0.0,44.0,False,3
177,2,cacturne,70,115,60,115,60,55,dark,grass,32,0.0,44.0,False,3
178,1,swablu,45,40,60,40,75,50,flying,normal,0,0.0,33.0,False,3
178,2,altaria,75,70,90,70,105,80,dragon,flying,35,0.0,33.0,False,3
180,1,seviper,73,100,60,100,60,65,poison,,0,0.0,33.0,False,3
182,1,solrock,70,95,85,55,65,70,psychic,rock,0,0.0,35.0,False,3
183,1,barboach,50,48,43,46,41,60,ground,water,0,0.0,56.0,False,3
183,2,whiscash,110,78,73,76,71,60,ground,water,30,0.0,56.0,False,3
184,1,corphish,43,80,65,50,35,35,water,,0,0.0,56.0,False,3
184,2,crawdaunt,63,120,85,90,55,55,dark,water,30,0.0,56.0,False,3
185,1,baltoy,40,40,55,40,70,55,ground,psychic,0,0.0,44.0,False,3
185,2,claydol,60,70,105,70,120,75,ground,psychic,36,0.0,44.0,False,3
186,1,lileep,66,41,77,61,87,23,grass,rock,0,0.0,8.0,False,3
186,2,cradily,86,81,97,81,107,43,grass,rock,40,0.0,8.0,False,3
187,1,anorith,45,95,50,40,50,75,bug,rock,0,0.0,8.0,False,3
187,2,armaldo,75,125,100,70,80,45,bug,rock,40,0.0,8.0,False,3
188,1,feebas,20,15,20,10,55,80,water,,0,0.0,57.0,False,3
188,2,milotic,95,60,79,100,125,81,water,,0,0.0,57.0,False,3
189,1,castform,70,70,70,70,70,70,normal,,0,0.0,57.0,False,3
190,1,kecleon,60,90,70,60,120,40,normal,,0,0.0,56.0,False,3
191,1,shuppet,44,75,35,63,33,45,ghost,,0,0.0,64.0,False,3
191,2,banette,64,115,65,83,63,65,ghost,,37,0.0,64.0,False,3
192,1,duskull,20,40,90,30,90,25,ghost,,0,0.0,67.0,False,3
192,2,dusclops,40,70,130,60,130,25,ghost,,37,0.0,67.0,False,3
193,1,tropius,99,68,83,72,87,51,flying,grass,0,0.0,57.0,False,3
194,1,chimecho,65,50,70,95,80,65,psychic,,0,0.0,67.0,False,3
195,1,absol,65,130,60,75,60,75,dark,,0,0.0,59.0,False,3
196,1,snorunt,50,50,50,50,50,50,ice,,0,0.0,75.0,False,3
196,2,glalie,80,80,80,80,80,80,ice,,42,0.0,75.0,False,3
197,1,spheal,70,40,50,55,50,25,ice,water,0,0.0,75.0,False,3
197,2,sealeo,90,60,70,75,70,45,ice,water,32,0.0,75.0,False,3
197,3,walrein,110,80,90,95,90,65,ice,water,44,0.0,75.0,False,3
198,1,clamperl,35,64,85,74,55,32,water,,0,0.0,78.0,False,3
198,2,huntail,55,104,105,94,75,52,water,,0,18.0,78.0,False,3
199,1,clamperl,35,64,85,74,55,32,water,,0,0.0,78.0,False,3
199,2,gorebyss,55,84,105,114,75,52,water,,0,18.0,78.0,False,3
200,1,relicanth,100,90,130,45,65,55,rock,water,0,0.0,78.0,False,3
201,1,luvdisc,43,30,55,40,65,97,water,,0,0.0,82.0,False,3
202,1,bagon,45,75,60,40,30,50,dragon,,0,0.0,95.0,False,3
202,2,shelgon,65,95,100,60,50,50,dragon,,30,0.0,95.0,False,3
202,3,salamence,95,135,80,110,80,100,dragon,flying,50,0.0,95.0,False,3
203,1,beldum,40,55,80,35,60,30,psychic,steel,0,0.0,99.0,False,3
203,2,metang,60,75,100,55,80,50,psychic,steel,20,0.0,99.0,False,3
203,3,metagross,80,135,130,95,90,70,psychic,steel,45,0.0,99.0,False,3
204,1,regirock,80,100,200,50,100,50,rock,,0,0.0,44.0,True,3
205,1,regice,80,50,100,100,200,50,ice,,0,0.0,48.0,True,3
206,1,registeel,80,75,150,75,150,50,steel,,0,0.0,59.0,True,3
207,1,latias,80,80,90,110,130,110,dragon,psychic,0,0.0,93.0,True,3
208,1,latios,80,90,80,130,110,110,dragon,psychic,0,0.0,93.0,True,3
209,1,kyogre,100,100,90,150,140,90,water,,0,0.0,99.0,True,3
210,1,groudon,100,150,140,100,90,90,ground,,0,0.0,100.0,True,3
211,1,rayquaza,105,150,90,150,90,95,dragon,flying,0,0.0,87.0,True,3
213,1,deoxys,50,150,50,150,50,150,psychic,,0,0.0,93.0,True,3
