pokemon,level,wild_location,item,version,method,wild_location_stage
Dratini,15,safari_zone,Super Rod,r,Fishing,25
Goldeen,15,route_22,Super Rod,r,Fishing,25
Krabby,15,route_4,Super Rod,r,Fishing,25
Magikarp,15,route_12,Super Rod,r,Fishing,25
Poliwag,15,pallet_town,Super Rod,r,Fishing,25
Shellder,15,route_6,Super Rod,r,Fishing,25
Slowpoke,15,route_10,Super Rod,r,Fishing,25
Tentacool,15,pallet_town,Super Rod,r,Fishing,25
Slowbro,20,route_12,None,r,Surfing,25
Rattata,22,route_16,None,r,Tall grass,25
Spearow,22,route_16,None,r,Tall grass,25
Paras,23,safari_zone,None,r,Tall grass,25
Poliwhirl,23,route_10,Super Rod,r,Fishing,25
Seaking,23,fuchsia_city,Super Rod,r,Fishing,25
Chansey,26,safari_zone,None,r,Tall grass,25
Ditto,26,route_15,None,r,Tall grass,25
Oddish,26,route_12,None,r,Tall grass,25
Rhyhorn,26,safari_zone,None,r,Tall grass,25
Exeggcute,27,safari_zone,None,r,Tall grass,25
Pidgey,27,route_12,None,r,Tall grass,25
Doduo,28,route_17,None,r,Tall grass,25
Kangaskhan,28,safari_zone,None,r,Tall grass,25
Scyther,28,safari_zone,None,r,Tall grass,25
Tauros,28,safari_zone,None,r,Tall grass,25
Venonat,28,route_15,None,r,Tall grass,25
Fearow,29,route_18,None,r,Tall grass,25
Raticate,29,route_17,None,r,Tall grass,25
Gloom,30,route_12,None,r,Tall grass,25
Parasect,30,safari_zone,None,r,Tall grass,25
Pidgeotto,30,route_14,None,r,Tall grass,25
Snorlax,30,route_12,None,r,event,25
Nidorina,31,safari_zone,None,r,Tall grass,25
Venomoth,32,safari_zone,None,r,Tall grass,25
Nidorino,33,safari_zone,None,r,Tall grass,25
Magnemite,23,power_plant,None,r,Cave,28
Voltorb,23,power_plant,None,r,Cave,28
Pikachu,24,power_plant,None,r,Cave,28
Magneton,35,power_plant,None,r,Cave,28
Electabuzz,36,power_plant,None,r,Cave,28
Zapdos,50,power_plant,None,r,event,28
Horsea,15,route_19,Super Rod,r,Fishing,29
Staryu,15,route_19,Super Rod,r,Fishing,29
Tentacool,40,route_19,None,r,Surfing,29
Zubat,21,seafoam_islands,None,r,Cave,31
Rattata,23,route_21,None,r,Tall grass,31
Psyduck,28,seafoam_islands,None,r,Cave,31
Raticate,30,route_21,None,r,Tall grass,31
Staryu,30,seafoam_islands,None,r,Cave,31
Golbat,32,seafoam_islands,None,r,Cave,31
Pidgeotto,32,route_21,None,r,Tall grass,31
Tangela,32,route_21,None,r,Tall grass,31
Horsea,33,seafoam_islands,None,r,Cave,31
Seel,33,seafoam_islands,None,r,Cave,31
Shellder,33,seafoam_islands,None,r,Cave,31
Slowpoke,33,seafoam_islands,None,r,Cave,31
Dewgong,38,seafoam_islands,None,r,Cave,31
Golduck,38,seafoam_islands,None,r,Cave,31
Seadra,39,seafoam_islands,None,r,Cave,31
Slowbro,39,seafoam_islands,None,r,Cave,31
Articuno,50,seafoam_islands,None,r,event,31
Aerodactyl,30,cinnabar_island,None,r,event,32
Kabuto,30,cinnabar_island,None,r,event,32
Omanyte,30,cinnabar_island,None,r,event,32
Grimer,35,pokemon_mansion,None,r,Cave,33
Growlithe,35,pokemon_mansion,None,r,Cave,33
Koffing,35,pokemon_mansion,None,r,Cave,33
Ponyta,36,pokemon_mansion,None,r,Cave,33
Muk,42,pokemon_mansion,None,r,Cave,33
Weezing,42,pokemon_mansion,None,r,Cave,33
Kingler,23,route_23,Super Rod,r,Fishing,35
Ekans,26,route_23,None,r,Tall grass,35
Spearow,26,route_23,None,r,Tall grass,35
Arbok,41,route_23,None,r,Tall grass,35
Ditto,43,route_23,None,r,Tall grass,35
Fearow,43,route_23,None,r,Tall grass,35
Machop,24,victory_road,None,r,Cave,36
Geodude,26,victory_road,None,r,Cave,36
Zubat,26,victory_road,None,r,Cave,36
Venomoth,40,victory_road,None,r,Cave,36
Golbat,41,victory_road,None,r,Cave,36
Graveler,43,victory_road,None,r,Cave,36
Marowak,43,victory_road,None,r,Cave,36
Machoke,45,victory_road,None,r,Cave,36
Onix,45,victory_road,None,r,Cave,36
Moltres,50,victory_road,None,r,event,36
Golbat,46,cerulean_cave,None,r,Cave,38
Hypno,46,cerulean_cave,None,r,Cave,38
Magneton,46,cerulean_cave,None,r,Cave,38
Dodrio,51,cerulean_cave,None,r,Cave,38
Kadabra,51,cerulean_cave,None,r,Cave,38
Venomoth,51,cerulean_cave,None,r,Cave,38
Wigglytuff,54,cerulean_cave,None,r,Cave,38
Electrode,55,cerulean_cave,None,r,Cave,38
Marowak,55,cerulean_cave,None,r,Cave,38
Rhydon,55,cerulean_cave,None,r,Cave,38
Arbok,57,cerulean_cave,None,r,Cave,38
Chansey,64,cerulean_cave,None,r,Cave,38
Parasect,64,cerulean_cave,None,r,Cave,38
Raichu,64,cerulean_cave,None,r,Cave,38
Ditto,67,cerulean_cave,None,r,Cave,38
Mewtwo,70,cerulean_cave,None,r,event,38
