evo_id,pokemon,hp,attack,defense,sp_attack,sp_defense,speed,types,evo_lvl,evo_item,evo_stage,exp_type
33,Slowpoke,90,65,65,40,40,15,Psychic/Water,0,,,Medium Fast
33,Slowbro,95,75,110,100,80,30,Psychic/Water,37,,,Medium Fast
34,Magnemite,25,35,70,95,55,45,Electric,0,,,Medium Fast
34,Magneton,50,60,95,120,70,70,Electric,30,,,Medium Fast
35,Farfetchd,52,65,55,58,62,60,Flying/Normal,0,,,Medium Fast
36,Doduo,35,85,45,35,35,75,Flying/Normal,0,,,Medium Fast
36,Dodrio,60,110,70,60,60,100,Flying/Normal,31,,,Medium Fast
37,Seel,65,45,55,45,70,45,Water,0,,,Medium Fast
37,Dewgong,90,70,80,70,95,70,Ice/Water,34,,,Medium Fast
38,Grimer,80,80,50,40,50,25,Poison,0,,,Medium Fast
38,Muk,105,105,75,65,100,50,Poison,38,,,Medium Fast
39,Shellder,30,65,100,45,25,40,Water,0,,,Slow
39,Cloyster,50,95,180,85,45,70,Ice/Water,0,waterstone,25,Slow
40,Gastly,30,35,30,100,35,80,Ghost/Poison,0,,,Medium Slow
40,Haunter,45,50,45,115,55,95,Ghost/Poison,25,,,Medium Slow
40,Gengar,60,65,60,130,75,110,Ghost/Poison,25,trade,,Medium Slow
41,Onix,35,45,160,30,45,70,Ground/Rock,0,,,Medium Fast
41,Steelix,75,85,200,55,65,30,Ground/Steel,0,metalcoat,18,Medium Fast
42,Drowzee,60,48,45,43,90,42,Psychic,0,,,Medium Fast
42,Hypno,85,73,70,73,115,67,Psychic,26,,,Medium Fast
43,Krabby,30,105,90,25,25,50,Water,0,,,Medium Fast
43,Kingler,55,130,115,50,50,75,Water,28,,,Medium Fast
44,Voltorb,40,30,50,55,55,100,Electric,0,,,Medium Fast
44,Electrode,60,50,70,80,80,140,Electric,30,,,Medium Fast
45,Exeggcute,60,40,80,60,45,40,Grass/Psychic,0,,,Slow
45,Exeggutor,95,95,85,125,65,55,Grass/Psychic,0,leafstone,11,Slow
46,Cubone,50,50,95,40,50,35,Ground,0,,,Medium Fast
46,Marowak,60,80,110,50,80,45,Ground,28,,,Medium Fast
47,Hitmonlee,50,120,53,35,110,87,Fighting,20,,,Medium Fast
47,Tyrogue,35,35,35,35,35,35,Fighting,0,,,Medium Fast
48,Hitmonchan,50,105,79,35,110,76,Fighting,20,,,Medium Fast
48,Tyrogue,35,35,35,35,35,35,Fighting,0,,,Medium Fast
49,Lickitung,90,55,75,60,75,30,Normal,0,,,Medium Fast
50,Koffing,40,65,95,60,45,35,Poison,0,,,Medium Fast
50,Weezing,65,90,120,85,70,60,Poison,35,,,Medium Fast
51,Rhyhorn,80,85,95,30,30,25,Ground/Rock,0,,,Slow
51,Rhydon,105,130,120,45,45,40,Ground/Rock,42,,,Slow
52,Chansey,250,5,5,35,105,50,Normal,0,,,Fast
52,Blissey,255,10,10,75,135,55,Normal,0,,,Fast
53,Tangela,65,55,115,100,40,60,Grass,0,,,Medium Fast
54,Kangaskhan,105,95,80,40,80,90,Normal,0,,,Medium Fast
55,Horsea,30,40,70,70,25,60,Water,0,,,Medium Fast
55,Seadra,55,65,95,95,45,85,Water,32,,,Medium Fast
55,Kingdra,75,95,95,95,95,85,Dragon/Water,32,dragonscale,22,Medium Fast
56,Goldeen,45,67,60,35,50,63,Water,0,,,Medium Fast
56,Seaking,80,92,65,65,80,68,Water,33,,,Medium Fast
57,Staryu,30,45,55,70,55,85,Water,0,,,Slow
57,Starmie,60,75,85,100,85,115,Psychic/Water,0,waterstone,25,Slow
58,Mr_Mime,40,45,65,100,120,90,Psychic,0,,,Medium Fast
59,Scyther,70,110,80,55,80,105,Bug/Flying,0,,,Medium Fast
59,Scizor,70,130,100,55,80,65,Bug/Steel,0,metalcoat,18,Medium Fast
60,Smoochum,45,30,15,85,65,65,Ice/Psychic,0,,,Medium Fast
60,Jynx,65,50,35,115,95,95,Ice/Psychic,30,,,Medium Fast
61,Elekid,45,63,37,65,55,95,Electric,0,,,Medium Fast
61,Electabuzz,65,83,57,95,85,105,Electric,30,,,Medium Fast
62,Magby,45,75,37,70,55,83,Fire,0,,,Medium Fast
62,Magmar,65,95,57,100,85,93,Fire,30,,,Medium Fast
63,Pinsir,65,125,100,55,70,85,Bug,0,,,Slow
64,Tauros,75,100,95,40,70,110,Normal,0,,,Slow
65,Magikarp,20,10,55,15,20,80,Water,0,,,Slow
65,Gyarados,95,125,79,60,100,81,Flying/Water,20,,,Slow
66,Lapras,130,85,80,85,95,60,Ice/Water,0,,,Slow
67,Ditto,48,48,48,48,48,48,Normal,0,,,Medium Fast
68,Eevee,55,55,50,45,65,55,Normal,0,,,Medium Fast
68,Vaporeon,130,65,60,110,95,65,Water,,waterstone,25,Medium Fast
69,Eevee,55,55,50,45,65,55,Normal,0,,,Medium Fast
69,Jolteon,65,65,60,110,95,130,Electric,,thunderstone,18,Medium Fast
70,Eevee,55,55,50,45,65,55,Normal,0,,,Medium Fast
70,Flareon,65,130,60,95,110,65,Fire,,firestone,15,Medium Fast
71,Porygon,65,60,70,85,75,40,Normal,0,,,Medium Fast
71,Porygon2,85,80,90,105,95,60,Normal,0,upgrade,52,Medium Fast
72,Omanyte,35,40,100,90,55,35,Rock/Water,0,,,Medium Fast
72,Omastar,70,60,125,115,70,55,Rock/Water,40,,,Medium Fast
73,Kabuto,30,80,90,55,45,55,Rock/Water,0,,,Medium Fast
73,Kabutops,60,115,105,65,70,80,Rock/Water,40,,,Medium Fast
74,Aerodactyl,80,105,65,60,75,130,Flying/Rock,0,,,Slow
75,Snorlax,160,110,65,65,110,30,Normal,0,,,Slow
76,Articuno,90,85,100,95,125,85,Flying/Ice,0,,,Slow
77,Zapdos,90,90,85,125,90,100,Electric/Flying,0,,,Slow
78,Moltres,90,100,90,125,85,90,Fire/Flying,0,,,Slow
79,Dratini,41,64,45,50,50,50,Dragon,0,,,Slow
79,Dragonair,61,84,65,70,70,70,Dragon,30,,,Slow
79,Dragonite,91,134,95,100,100,80,Dragon/Flying,55,,,Slow
80,Mewtwo,106,110,90,154,90,130,Psychic,0,,,Slow
81,Mew,100,100,100,100,100,100,Psychic,0,,,Medium Slow
82,Chikorita,45,49,65,49,65,45,Grass,0,,,Medium Slow
82,Bayleef,60,62,80,63,80,60,Grass,16,,,Medium Slow
82,Meganium,80,82,100,83,100,80,Grass,32,,,Medium Slow
83,Cyndaquil,39,52,43,60,50,65,Fire,0,,,Medium Slow
83,Quilava,58,64,58,80,65,80,Fire,14,,,Medium Slow
83,Typhlosion,78,84,78,109,85,100,Fire,36,,,Medium Slow
84,Totodile,50,65,64,44,48,43,Water,0,,,Medium Slow
84,Croconaw,65,80,80,59,63,58,Water,18,,,Medium Slow
84,Feraligatr,85,105,100,79,83,78,Water,30,,,Medium Slow
85,Sentret,35,46,34,35,45,20,Normal,0,,,Medium Fast
85,Furret,85,76,64,45,55,90,Normal,15,,,Medium Fast
86,Hoothoot,60,30,30,36,56,50,Flying/Normal,0,,,Medium Fast
86,Noctowl,100,50,50,76,96,70,Flying/Normal,20,,,Medium Fast
87,Ledyba,40,20,30,40,80,55,Bug/Flying,0,,,Fast
87,Ledian,55,35,50,55,110,85,Bug/Flying,18,,,Fast
88,Spinarak,40,60,40,40,40,30,Bug/Poison,0,,,Fast
88,Ariados,70,90,70,60,60,40,Bug/Poison,22,,,Fast
89,Chinchou,75,38,38,56,56,67,Electric/Water,0,,,Slow
89,Lanturn,125,58,58,76,76,67,Electric/Water,27,,,Slow
90,Togepi,35,20,65,40,65,20,Normal,0,,,Fast
90,Togetic,55,40,85,80,105,40,Flying,0,,,Fast
91,Natu,40,50,45,70,45,70,Flying/Psychic,0,,,Medium Fast
91,Xatu,65,75,70,95,70,95,Flying/Psychic,25,,,Medium Fast
92,Mareep,55,40,40,65,45,35,Electric,0,,,Medium Slow
92,Flaaffy,70,55,55,80,60,45,Electric,15,,,Medium Slow
92,Ampharos,90,75,75,115,90,55,Electric,30,,,Medium Slow
93,Oddish,45,50,55,75,75,30,Grass/Poison,0,,,Medium Slow
93,Gloom,60,65,70,85,85,40,Grass/Poison,21,,,Medium Slow
93,Bellossom,75,80,85,90,100,50,Grass,21,sunstone,14,Medium Slow
94,Marill,70,20,50,20,50,40,Water,0,,,Fast
94,Azumarill,100,50,80,50,80,50,Water,18,,,Fast
95,Sudowoodo,70,100,115,30,65,30,Rock,0,,,Medium Fast
96,Poliwag,40,50,40,40,40,90,Water,0,,,Medium Slow
96,Poliwhirl,65,65,65,50,50,90,Water,25,,,Medium Slow
96,Politoed,90,75,75,90,100,70,Water,25,kingsrock,9,Medium Slow
97,Hoppip,35,35,40,35,55,50,Flying/Grass,0,,,Medium Slow
97,Skiploom,55,45,50,45,65,80,Flying/Grass,18,,,Medium Slow
97,Jumpluff,75,55,70,55,85,110,Flying/Grass,27,,,Medium Slow
98,Aipom,55,70,55,40,55,85,Normal,0,,,Fast
99,Sunkern,30,30,30,30,30,30,Grass,0,,,Medium Slow
99,Sunflora,75,75,55,105,85,30,Grass,0,sunstone,14,Medium Slow
100,Yanma,65,65,45,75,45,95,Bug/Flying,0,,,Medium Fast
101,Wooper,55,45,45,25,25,15,Ground/Water,0,,,Medium Fast
101,Quagsire,95,85,85,65,65,35,Ground/Water,20,,,Medium Fast
102,Eevee,55,55,50,65,65,55,Normal,0,,,Medium Fast
102,Espeon,65,65,60,130,95,110,Psychic,0,,,Medium Fast
103,Eevee,55,55,50,65,65,55,Normal,0,,,Medium Fast
103,Umbreon,95,65,110,60,130,65,Dark,0,,,Medium Fast
104,Murkrow,60,85,42,85,42,91,Dark/Flying,0,,,Medium Slow
105,Slowpoke,90,65,65,40,40,15,Psychic/Water,0,,,Medium Fast
105,Slowbro,95,75,110,80,80,30,Psychic/Water,37,,,Medium Fast
105,Slowking,95,75,80,100,110,30,Psychic/Water,37,kingsrock,9,Medium Fast
106,Misdreavus,60,60,60,85,85,85,Ghost,0,,,Fast
107,Unown,48,72,48,72,48,48,Psychic,0,,,Medium Fast
108,Wobbuffet,190,33,58,33,58,33,Psychic,0,,,Medium Fast
109,Girafarig,70,80,65,90,65,85,Normal/Psychic,0,,,Medium Fast
110,Pineco,50,65,90,35,35,15,Bug,0,,,Medium Fast
110,Forretress,75,90,140,60,60,40,Bug/Steel,31,,,Medium Fast
111,Dunsparce,100,70,70,65,65,45,Normal,0,,,Medium Fast
112,Gligar,65,75,105,35,65,85,Flying/Ground,0,,,Medium Slow
113,Snubbull,60,80,50,40,40,30,Normal,0,,,Fast
113,Granbull,90,120,75,60,60,45,Normal,23,,,Fast
114,Qwilfish,65,95,75,55,55,85,Poison/Water,0,,,Medium Fast
115,Shuckle,20,10,230,10,230,5,Bug/Rock,0,,,Medium Slow
116,Heracross,80,125,75,40,95,85,Bug/Fighting,0,,,Slow
117,Sneasel,55,95,55,35,75,115,Dark/Ice,0,,,Medium Slow
118,Teddiursa,60,80,50,50,50,40,Normal,0,,,Medium Fast
118,Ursaring,90,130,75,75,75,55,Normal,30,,,Medium Fast
119,Slugma,40,40,40,70,40,20,Fire,0,,,Medium Fast
119,Magcargo,50,50,120,80,80,30,Fire/Rock,38,,,Medium Fast
120,Swinub,50,50,40,30,30,50,Ground/Ice,0,,,Slow
120,Piloswine,100,100,80,60,60,50,Ground/Ice,33,,,Slow
121,Corsola,55,55,85,65,85,35,Rock/Water,0,,,Fast
122,Remoraid,35,65,35,65,35,65,Water,0,,,Medium Fast
122,Octillery,75,105,75,105,75,45,Water,25,,,Medium Fast
123,Delibird,45,55,45,65,45,75,Flying/Ice,0,,,Fast
124,Mantine,65,40,70,80,140,70,Flying/Water,0,,,Slow
125,Skarmory,65,80,140,40,70,70,Flying/Steel,0,,,Slow
126,Houndour,45,60,30,80,50,65,Dark/Fire,0,,,Slow
126,Houndoom,75,90,50,110,80,95,Dark/Fire,24,,,Slow
127,Phanpy,90,60,60,40,40,40,Ground,0,,,Medium Fast
127,Donphan,90,120,120,60,60,50,Ground,25,,,Medium Fast
128,Stantler,73,95,62,85,65,85,Normal,0,,,Slow
129,Smeargle,55,20,35,20,45,75,Normal,0,,,Fast
130,Tyrogue,35,35,35,35,35,35,Fighting,0,,,Medium Fast
130,Hitmontop,50,95,95,35,110,70,Fighting,20,,,Medium Fast
131,Miltank,95,80,105,40,70,100,Normal,0,,,Slow
132,Raikou,90,85,75,115,100,115,Electric,0,,,Slow
133,Entei,115,115,85,90,75,100,Fire,0,,,Slow
134,Suicune,100,75,115,90,115,85,Water,0,,,Slow
135,Larvitar,50,64,50,45,50,41,Ground/Rock,0,,,Slow
135,Pupitar,70,84,70,65,70,51,Ground/Rock,30,,,Slow
135,Tyranitar,100,134,110,95,100,61,Dark/Rock,55,,,Slow
136,Lugia,106,90,130,90,154,110,Flying/Psychic,0,,,Slow
137,Ho_Oh,106,130,90,110,154,90,Fire/Flying,0,,,Slow
138,Celebi,100,100,100,100,100,100,Grass/Psychic,0,,,Medium Slow
