enc_id,trainer_name_enc,location_enc,pokemon_enc,level_enc,stage_enc,hp_enc,attack_enc,defense_enc,sp_attack_enc,sp_defense_enc,speed_enc,types_enc,exp_type_enc,exp_enc,move1_name_enc,move1_type_enc,move1_power_enc,move1_accuracy_enc,move1_crit_enc,move2_name_enc,move2_type_enc,move2_power_enc,move2_accuracy_enc,move2_crit_enc,move3_name_enc,move3_type_enc,move3_power_enc,move3_accuracy_enc,move3_crit_enc,move4_name_enc,move4_type_enc,move4_power_enc,move4_accuracy_enc,move4_crit_enc
38,youngster_albert,route_32,rattata,6,6,20,12,10,8,10,14,Normal,Medium Fast,216,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,fisher_henry,route_32,poliwag,8,6,25,14,12,12,12,20,Water,Medium Slow,314,bubble,Water,20,1.0,False,bubble,Water,20,1.0,False,-,-,-,-,-,-,-,-,-,-
40,fisher_henry,route_32,poliwag,8,6,25,14,12,12,12,20,Water,Medium Slow,314,bubble,Water,20,1.0,False,bubble,Water,20,1.0,False,-,-,-,-,-,-,-,-,-,-
41,picnicker_liz,route_32,nidoran_f,9,6,28,14,16,13,13,14,Poison,Medium Slow,419,scratch,Normal,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
42,camper_roland,route_32,nidoran_m,9,6,28,16,13,13,13,15,Poison,Medium Slow,419,horn attack,Normal,65,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
43,youngster_albert,route_32,zubat,8,6,25,13,11,11,12,15,Flying/Poison,Medium Fast,512,leech life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,bird_keeper_peter,route_32,spearow,8,6,25,16,11,11,11,17,Flying/Normal,Medium Fast,512,peck,Flying,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,youngster_gordon,route_32,wooper,10,6,32,15,15,11,11,9,Ground/Water,Medium Fast,1000,water gun,Water,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,fisher_ralph,route_32,goldeen,10,6,30,20,18,13,16,19,Water,Medium Fast,1000,peck,Flying,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,fisher_justin,route_32,magikarp,15,6,33,10,23,11,13,31,Water,Slow,4218,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,hiker_russel,union_cave,geodude,4,7,17,12,13,8,8,7,Ground/Rock,Medium Slow,96,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,hiker_russel,union_cave,geodude,6,7,20,15,17,9,9,8,Ground/Rock,Medium Slow,179,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,firebreather_bill,union_cave,koffing,6,7,21,13,17,13,11,10,Poison,Medium Fast,216,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,firebreather_bill,union_cave,koffing,6,7,21,13,17,13,11,10,Poison,Medium Fast,216,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,hiker_russel,union_cave,geodude,8,7,24,19,22,11,11,9,Ground/Rock,Medium Slow,314,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,firebreather_ray,union_cave,vulpix,9,7,27,14,13,15,18,18,Fire,Medium Fast,729,quick attack,Normal,40,1.0,False,ember,Fire,40,1.0,False,-,-,-,-,-,-,-,-,-,-
54,pokemaniac_larry,union_cave,slowpoke,10,7,39,19,19,14,14,9,Psychic/Water,Medium Fast,1000,tackle,Normal,35,0.95,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
55,hiker_daniel,union_cave,onix,11,7,28,17,41,13,16,22,Ground/Rock,Medium Fast,1331,bind,Normal,15,0.75,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
56,hiker_anthony,route_33,geodude,11,8,29,24,28,13,13,11,Ground/Rock,Medium Slow,742,rock throw,Rock,50,0.9,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
57,hiker_anthony,route_33,machop,11,8,36,24,17,14,14,14,Fighting,Medium Slow,742,low kick,Fighting,50,0.9,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,rocket_grunt_#3,slowpoke_well,rattata,7,9,22,14,11,9,11,16,Normal,Medium Fast,343,quick attack,Normal,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
59,bug_catcher_benny,azalea_town_gym,weedle,7,9,23,11,10,8,8,13,Bug/Poison,Medium Fast,343,poison sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,rocket_grunt_#1,slowpoke_well,rattata,9,9,25,17,12,10,12,19,Normal,Medium Fast,729,quick attack,Normal,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
61,rocket_grunt_#1,slowpoke_well,rattata,9,9,25,17,12,10,12,19,Normal,Medium Fast,729,quick attack,Normal,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
62,rocket_grunt_#2,slowpoke_well,zubat,9,9,27,14,13,11,13,16,Flying/Poison,Medium Fast,729,leech life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,rocket_grunt_#3,slowpoke_well,zubat,9,9,27,15,12,11,13,16,Flying/Poison,Medium Fast,729,leech life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,rocket_grunt_#3,slowpoke_well,zubat,9,9,27,15,12,11,13,16,Flying/Poison,Medium Fast,729,leech life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,bug_catcher_benny,azalea_town_gym,kakuna,9,9,28,11,15,10,10,12,Bug/Poison,Medium Fast,729,struggle,Normal,1,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,twins_amy_&_may,azalea_town_gym,spinarak,10,9,28,18,14,14,14,13,Bug/Poison,Fast,800,poison sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,twins_amy_&_may,azalea_town_gym,ledyba,10,9,28,10,12,14,6,18,Bug/Flying,Fast,800,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,rival_silver,azalea_town,gastly,12,9,32,16,15,32,16,27,Ghost/Poison,Medium Slow,973,lick,Ghost,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,rocket_grunt_#2,slowpoke_well,ekans,11,9,30,19,17,15,18,19,Poison,Medium Fast,1331,poison sting,Poison,15,1.0,False,wrap,Normal,15,0.85,False,-,-,-,-,-,-,-,-,-,-
70,bug_catcher_al,azalea_town_gym,caterpie,12,9,34,14,15,11,11,17,Bug,Medium Fast,1728,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,bug_catcher_al,azalea_town_gym,weedle,12,9,33,15,14,11,11,18,Bug/Poison,Medium Fast,1728,poison sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,bug_catcher_benny,azalea_town_gym,beedrill,12,9,39,26,16,17,26,24,Bug/Poison,Medium Fast,1728,fury attack,Normal,45,0.85,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,bug_catcher_josh,azalea_town_gym,paras,13,9,34,25,21,18,21,13,Bug/Grass,Medium Fast,2197,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,rival_silver,azalea_town,croconaw,16,9,51,34,34,28,29,27,Water,Medium Slow,2535,water gun,Water,40,1.0,False,rage,Normal,20,1.0,False,scratch,Normal,40,1.0,False,-,-,-,-,-
75,rival_silver,azalea_town,bayleef,16,9,51,34,34,28,29,27,Grass,Medium Slow,2535,razor leaf,Grass,55,0.95,True,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
76,rival_silver,azalea_town,quilava,16,9,51,34,34,28,29,27,Fire,Medium Slow,2535,ember,Fire,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
77,rocket_grunt_#4,slowpoke_well,koffing,14,9,37,26,33,24,19,17,Poison,Medium Fast,2744,smog,Poison,20,0.7,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
78,gym_leader_bugsy,azalea_town_gym,metapod,14,9,40,13,22,14,14,15,Bug,Medium Fast,2744,Tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,gym_leader_bugsy,azalea_town_gym,kakuna,14,9,38,14,21,14,14,17,Bug/Poison,Medium Fast,2744,Poison Sting,Poison,15,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,rival_silver,azalea_town,zubat,14,9,39,21,18,17,19,24,Flying/Poison,Medium Fast,2744,bite,Dark,60,1.0,False,leech life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-
81,gym_leader_bugsy,azalea_town_gym,scyther,16,9,50,43,33,25,33,41,Bug/Flying,Medium Fast,4096,Fury Cutter,Bug,10,0.95,False,Quick Attack,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-
82,bug_catcher_wayne,ilex_forest,ledyba,8,10,25,9,11,12,19,15,Bug/Flying,Fast,409,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,bug_catcher_wayne,ilex_forest,paras,10,10,28,20,17,15,17,11,Bug/Grass,Medium Fast,1000,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,youngster_samuel,route_34,rattata,7,11,22,14,11,9,11,16,Normal,Medium Fast,343,quick attack,Normal,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
85,picnicker_gina,route_34,hoppip,9,11,25,12,14,12,16,15,Flying/Grass,Medium Slow,419,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,picnicker_gina,route_34,hoppip,9,11,25,12,14,12,16,15,Flying/Grass,Medium Slow,419,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,youngster_samuel,route_34,spearow,8,11,25,16,11,11,11,17,Flying/Normal,Medium Fast,512,peck,Flying,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,youngster_samuel,route_34,spearow,8,11,25,16,11,11,11,17,Flying/Normal,Medium Fast,512,peck,Flying,35,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,picnicker_gina,route_34,bulbasaur,12,11,32,18,19,22,22,18,Grass/Poison,Medium Slow,973,vine whip,Grass,35,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
90,youngster_samuel,route_34,sandshrew,10,11,31,21,23,10,12,14,Ground,Medium Fast,1000,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,youngster_ian,route_34,mankey,10,11,29,22,13,13,15,20,Fighting,Medium Fast,1000,low kick,Fighting,50,0.9,False,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-
92,youngster_ian,route_34,diglett,12,11,26,20,12,15,17,29,Ground,Medium Fast,1728,magnitude,Ground,71,1.0,False,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-
93,pokefan_brandon,route_34,snubbull,13,11,40,28,20,17,17,14,Normal,Fast,1757,bite,Dark,60,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
94,camper_todd,route_34,psyduck,14,11,40,22,20,25,21,22,Water,Medium Fast,2744,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,officer_keith,route_34,growlithe,17,11,48,31,23,31,24,28,Fire,Slow,6141,ember,Fire,40,1.0,False,bite,Dark,60,1.0,False,-,-,-,-,-,-,-,-,-,-
96,super_nerd_teru,goldenrod_underground,magnemite,7,12,21,11,15,19,13,12,Electric,Medium Fast,343,thundershock,Electric,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
97,super_nerd_teru,goldenrod_underground,magnemite,7,12,21,11,15,19,13,12,Electric,Medium Fast,343,thundershock,Electric,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
98,super_nerd_teru,goldenrod_underground,magnemite,9,12,24,12,19,23,16,14,Electric,Medium Fast,729,thundershock,Electric,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
99,beauty_victoria,goldenrod_city_gym,sentret,9,12,26,14,12,12,14,10,Normal,Medium Fast,729,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,pokemaniac_donald,goldenrod_underground,slowpoke,10,12,39,19,19,14,14,9,Psychic/Water,Medium Fast,1000,tackle,Normal,35,0.95,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
101,pokemaniac_donald,goldenrod_underground,slowpoke,10,12,39,19,19,14,14,9,Psychic/Water,Medium Fast,1000,tackle,Normal,35,0.95,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
102,super_nerd_eric,goldenrod_underground,grimer,11,12,40,24,17,15,17,12,Poison,Medium Fast,1331,pound,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,super_nerd_eric,goldenrod_underground,grimer,11,12,40,24,17,15,17,12,Poison,Medium Fast,1331,pound,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,super_nerd_teru,goldenrod_underground,voltorb,11,12,31,13,17,18,18,28,Electric,Medium Fast,1331,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,pokemaniac_issac,goldenrod_underground,lickitung,12,12,45,20,24,21,24,14,Normal,Medium Fast,1728,lick,Ghost,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,beauty_victoria,goldenrod_city_gym,sentret,13,12,33,18,16,16,18,13,Normal,Medium Fast,2197,quick attack,Normal,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
107,lass_bridget,goldenrod_city_gym,jigglypuff,15,12,61,20,13,20,14,13,Normal,Fast,2700,pound,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,lass_bridget,goldenrod_city_gym,jigglypuff,15,12,61,20,13,20,14,13,Normal,Fast,2700,pound,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,lass_bridget,goldenrod_city_gym,jigglypuff,15,12,61,20,13,20,14,13,Normal,Fast,2700,pound,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,beauty_sammantha,goldenrod_city_gym,meowth,16,12,40,21,19,20,20,37,Normal,Medium Fast,4096,bite,Dark,60,1.0,False,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-
111,beauty_sammantha,goldenrod_city_gym,meowth,16,12,40,21,19,20,20,37,Normal,Medium Fast,4096,bite,Dark,60,1.0,False,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-
112,lass_carrie,goldenrod_city_gym,snubbull,18,12,52,35,25,22,22,18,Normal,Fast,4665,bite,Dark,60,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
113,gym_leader_whitney,goldenrod_city_gym,clefairy,18,12,53,24,25,29,31,20,Normal,Fast,4665,DoubleSlap,Normal,45,0.85,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,beauty_victoria,goldenrod_city_gym,sentret,17,12,40,22,19,19,23,15,Normal,Medium Fast,4913,fury swipes,Normal,54,0.8,False,quick attack,Normal,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-
115,gym_leader_whitney,goldenrod_city_gym,miltank,20,12,68,40,50,24,36,48,Normal,Slow,10000,Stomp,Normal,65,1.0,False,Rollout,Rock,30,0.9,False,-,-,-,-,-,-,-,-,-,-
116,juggler_irwin,route_35,voltorb,2,13,13,6,7,7,7,9,Electric,Medium Fast,8,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,juggler_irwin,route_35,voltorb,6,13,21,9,11,12,12,17,Electric,Medium Fast,216,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,bird_keeper_bryan,route_35,pidgey,12,13,33,17,16,15,15,20,Flying/Normal,Medium Slow,973,gust,Flying,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
119,camper_ivan,route_35,diglett,10,13,23,17,11,13,15,25,Ground,Medium Fast,1000,magnitude,Ground,71,1.0,False,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-
120,camper_ivan,route_35,zubat,10,13,29,15,13,12,14,17,Flying/Poison,Medium Fast,1000,leech life,Bug,20,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,juggler_irwin,route_35,voltorb,10,13,29,12,16,17,17,26,Electric,Medium Fast,1000,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,firebreather_walt,route_35,magmar,11,13,37,27,19,28,25,27,Fire,Medium Fast,1331,ember,Fire,40,1.0,False,fire punch,Fire,75,1.0,False,smog,Poison,20,0.7,False,-,-,-,-,-
123,bird_keeper_bryan,route_35,pidgeotto,14,13,43,24,22,21,21,27,Flying/Normal,Medium Slow,1612,gust,Flying,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-
124,camper_elliot,route_35,sandshrew,13,13,38,26,29,12,14,17,Ground,Medium Fast,2197,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,firebreather_walt,route_35,magmar,13,13,41,32,21,33,29,31,Fire,Medium Fast,2197,ember,Fire,40,1.0,False,fire punch,Fire,75,1.0,False,smog,Poison,20,0.7,False,-,-,-,-,-
126,camper_elliot,route_35,marill,15,13,48,13,22,13,22,19,Water,Fast,2700,rollout,Rock,30,0.9,False,water gun,Water,40,1.0,False,tackle,Normal,35,0.95,False,-,-,-,-,-
127,camper_ivan,route_35,diglett,14,13,29,22,14,17,19,33,Ground,Medium Fast,2744,magnitude,Ground,71,1.0,False,scratch,Normal,40,1.0,False,-,-,-,-,-,-,-,-,-,-
128,juggler_irwin,route_35,voltorb,14,13,37,15,21,22,22,35,Electric,Medium Fast,2744,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,picnicker_kim,route_35,vulpix,15,13,36,19,20,22,26,27,Fire,Medium Fast,3375,quick attack,Normal,40,1.0,False,ember,Fire,40,1.0,False,-,-,-,-,-,-,-,-,-,-
130,bug_catcher_arnie,route_35,venonat,15,13,45,24,22,19,23,20,Bug/Poison,Medium Fast,3375,tackle,Normal,35,0.95,False,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,officer_dirk,route_35,growlithe,14,13,41,27,19,26,21,24,Fire,Slow,3430,ember,Fire,40,1.0,False,bite,Dark,60,1.0,False,-,-,-,-,-,-,-,-,-,-
132,officer_dirk,route_35,growlithe,14,13,41,27,19,26,21,24,Fire,Slow,3430,ember,Fire,40,1.0,False,bite,Dark,60,1.0,False,-,-,-,-,-,-,-,-,-,-
133,picnicker_brooke,route_35,pikachu,16,13,37,24,17,23,20,37,Electric,Medium Fast,4096,quick attack,Normal,40,1.0,False,thundershock,Electric,40,1.0,False,-,-,-,-,-,-,-,-,-,-
