pokemon,move_level,move_name,move_type,power,accuracy,crit,move_stage,exp_type,evo_id
charizard,,headbutt,Normal,70,1.0,False,10.0,Medium Slow,2
charizard,,rock smash,Fighting,20,1.0,False,12.0,Medium Slow,2
charizard,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,2
charizard,,hyper beam,Normal,75,0.9,False,65.0,Medium Slow,2
charizard,,iron tail,Steel,100,0.75,False,20.0,Medium Slow,2
charizard,,dragonbreath,Dragon,60,1.0,False,,Medium Slow,2
charizard,,earthquake,Ground,100,1.0,False,47.0,Medium Slow,2
charizard,,return,Normal,102,1.0,False,12.0,Medium Slow,2
charizard,,dig,Ground,60,1.0,False,14.0,Medium Slow,2
charizard,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,2
charizard,,fire blast,Fire,120,0.85,False,12.0,Medium Slow,2
charizard,,swift,Normal,60,1.0,False,7.0,Medium Slow,2
charizard,,steel wing,Steel,70,0.9,False,,Medium Slow,2
charizard,,fire punch,Fire,75,1.0,False,12.0,Medium Slow,2
charizard,,fury cutter,Bug,10,0.95,False,9.0,Medium Slow,2
squirtle,1.0,tackle,Normal,35,0.95,False,,Medium Slow,3
squirtle,7.0,bubble,Water,20,1.0,False,,Medium Slow,3
squirtle,13.0,water gun,Water,40,1.0,False,,Medium Slow,3
squirtle,18.0,bite,Dark,60,1.0,False,,Medium Slow,3
squirtle,23.0,rapid spin,Normal,20,1.0,False,,Medium Slow,3
squirtle,47.0,hydro pump,Water,120,0.8,False,,Medium Slow,3
squirtle,,surf,Water,95,1.0,False,17.0,Medium Slow,3
squirtle,,strength,Normal,80,1.0,False,,Medium Slow,3
squirtle,,whirlpool,Water,15,0.7,False,27.0,Medium Slow,3
squirtle,,waterfall,Water,80,1.0,False,36.0,Medium Slow,3
squirtle,,dynamicpunch,Fighting,100,0.5,False,,Medium Slow,3
squirtle,,headbutt,Normal,70,1.0,False,10.0,Medium Slow,3
squirtle,,rollout,Rock,30,0.9,False,13.0,Medium Slow,3
squirtle,,rock smash,Fighting,20,1.0,False,12.0,Medium Slow,3
squirtle,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,3
squirtle,,blizzard,Ice,120,0.7,False,12.0,Medium Slow,3
squirtle,,icy wind,Ice,55,0.95,False,27.0,Medium Slow,3
squirtle,,iron tail,Steel,100,0.75,False,20.0,Medium Slow,3
squirtle,,return,Normal,102,1.0,False,12.0,Medium Slow,3
squirtle,,dig,Ground,60,1.0,False,14.0,Medium Slow,3
squirtle,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,3
squirtle,,ice punch,Ice,75,1.0,False,12.0,Medium Slow,3
wartortle,1.0,bubble,Water,20,1.0,False,,Medium Slow,3
wartortle,1.0,tackle,Normal,35,0.95,False,,Medium Slow,3
wartortle,13.0,water gun,Water,40,1.0,False,,Medium Slow,3
wartortle,19.0,bite,Dark,60,1.0,False,,Medium Slow,3
wartortle,25.0,rapid spin,Normal,20,1.0,False,,Medium Slow,3
wartortle,53.0,hydro pump,Water,120,0.8,False,,Medium Slow,3
wartortle,,surf,Water,95,1.0,False,17.0,Medium Slow,3
wartortle,,strength,Normal,80,1.0,False,,Medium Slow,3
wartortle,,whirlpool,Water,15,0.7,False,27.0,Medium Slow,3
wartortle,,waterfall,Water,80,1.0,False,36.0,Medium Slow,3
wartortle,,dynamicpunch,Fighting,100,0.5,False,,Medium Slow,3
wartortle,,headbutt,Normal,70,1.0,False,10.0,Medium Slow,3
wartortle,,rollout,Rock,30,0.9,False,13.0,Medium Slow,3
wartortle,,rock smash,Fighting,20,1.0,False,12.0,Medium Slow,3
wartortle,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,3
wartortle,,blizzard,Ice,120,0.7,False,12.0,Medium Slow,3
wartortle,,icy wind,Ice,55,0.95,False,27.0,Medium Slow,3
wartortle,,iron tail,Steel,100,0.75,False,20.0,Medium Slow,3
wartortle,,return,Normal,102,1.0,False,12.0,Medium Slow,3
wartortle,,dig,Ground,60,1.0,False,14.0,Medium Slow,3
wartortle,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,3
wartortle,,ice punch,Ice,75,1.0,False,12.0,Medium Slow,3
blastoise,1.0,bubble,Water,20,1.0,False,,Medium Slow,3
blastoise,1.0,tackle,Normal,35,0.95,False,,Medium Slow,3
blastoise,13.0,water gun,Water,40,1.0,False,,Medium Slow,3
blastoise,19.0,bite,Dark,60,1.0,False,,Medium Slow,3
blastoise,25.0,rapid spin,Normal,20,1.0,False,,Medium Slow,3
blastoise,68.0,hydro pump,Water,120,0.8,False,,Medium Slow,3
blastoise,,surf,Water,95,1.0,False,17.0,Medium Slow,3
blastoise,,strength,Normal,80,1.0,False,,Medium Slow,3
blastoise,,whirlpool,Water,15,0.7,False,27.0,Medium Slow,3
blastoise,,waterfall,Water,80,1.0,False,36.0,Medium Slow,3
blastoise,,dynamicpunch,Fighting,100,0.5,False,,Medium Slow,3
blastoise,,headbutt,Normal,70,1.0,False,10.0,Medium Slow,3
blastoise,,rollout,Rock,30,0.9,False,13.0,Medium Slow,3
blastoise,,rock smash,Fighting,20,1.0,False,12.0,Medium Slow,3
blastoise,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,3
blastoise,,blizzard,Ice,120,0.7,False,12.0,Medium Slow,3
blastoise,,hyper beam,Normal,75,0.9,False,65.0,Medium Slow,3
blastoise,,icy wind,Ice,55,0.95,False,27.0,Medium Slow,3
blastoise,,iron tail,Steel,100,0.75,False,20.0,Medium Slow,3
blastoise,,earthquake,Ground,100,1.0,False,47.0,Medium Slow,3
blastoise,,return,Normal,102,1.0,False,12.0,Medium Slow,3
blastoise,,dig,Ground,60,1.0,False,14.0,Medium Slow,3
blastoise,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,3
blastoise,,ice punch,Ice,75,1.0,False,12.0,Medium Slow,3
caterpie,1.0,tackle,Normal,35,0.95,False,,Medium Fast,4
metapod,0.0,struggle,Normal,1,1.0,False,,Medium Fast,4
butterfree,1.0,confusion,Psychic,50,1.0,False,,Medium Fast,4
butterfree,28.0,gust,Flying,40,1.0,False,,Medium Fast,4
butterfree,34.0,psybeam,Psychic,65,1.0,False,,Medium Fast,4
butterfree,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,4
butterfree,,hyper beam,Normal,75,0.9,False,65.0,Medium Fast,4
butterfree,,giga drain,Grass,60,1.0,False,65.0,Medium Fast,4
butterfree,,return,Normal,102,1.0,False,12.0,Medium Fast,4
butterfree,,psychic,Psychic,90,1.0,False,52.0,Medium Fast,4
butterfree,,swift,Normal,60,1.0,False,7.0,Medium Fast,4
weedle,1.0,poison sting,Poison,15,1.0,False,,Medium Fast,5
kakuna,0.0,struggle,Normal,1,1.0,False,,Medium Fast,5
beedrill,1.0,fury attack,Normal,45,0.85,False,,Medium Fast,5
beedrill,20.0,twineedle,Bug,50,1.0,False,,Medium Fast,5
beedrill,25.0,rage,Normal,20,1.0,False,,Medium Fast,5
beedrill,30.0,pursuit,Dark,40,1.0,False,,Medium Fast,5
beedrill,35.0,pin missile,Bug,42,0.85,False,,Medium Fast,5
beedrill,,cut,Normal,50,0.95,False,10.0,Medium Fast,5
beedrill,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,5
beedrill,,hyper beam,Normal,75,0.9,False,65.0,Medium Fast,5
beedrill,,giga drain,Grass,60,1.0,False,65.0,Medium Fast,5
beedrill,,return,Normal,102,1.0,False,12.0,Medium Fast,5
beedrill,,sludge bomb,Poison,90,1.0,False,28.0,Medium Fast,5
beedrill,,swift,Normal,60,1.0,False,7.0,Medium Fast,5
beedrill,,fury cutter,Bug,10,0.95,False,9.0,Medium Fast,5
pidgey,1.0,tackle,Normal,35,0.95,False,,Medium Slow,6
pidgey,9.0,gust,Flying,40,1.0,False,,Medium Slow,6
pidgey,15.0,quick attack,Normal,40,1.0,False,,Medium Slow,6
pidgey,29.0,wing attack,Flying,60,1.0,False,,Medium Slow,6
pidgey,,fly,Flying,70,0.95,False,23.0,Medium Slow,6
pidgey,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,6
pidgey,,return,Normal,102,1.0,False,12.0,Medium Slow,6
pidgey,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,6
pidgey,,swift,Normal,60,1.0,False,7.0,Medium Slow,6
pidgey,,thief,Dark,40,1.0,False,30.0,Medium Slow,6
pidgey,,steel wing,Steel,70,0.9,False,,Medium Slow,6
pidgeotto,1.0,gust,Flying,40,1.0,False,,Medium Slow,6
pidgeotto,1.0,tackle,Normal,35,0.95,False,,Medium Slow,6
pidgeotto,15.0,quick attack,Normal,40,1.0,False,,Medium Slow,6
pidgeotto,33.0,wing attack,Flying,60,1.0,False,,Medium Slow,6
pidgeotto,,fly,Flying,70,0.95,False,23.0,Medium Slow,6
pidgeotto,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,6
pidgeotto,,return,Normal,102,1.0,False,12.0,Medium Slow,6
pidgeotto,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,6
pidgeotto,,swift,Normal,60,1.0,False,7.0,Medium Slow,6
pidgeotto,,thief,Dark,40,1.0,False,30.0,Medium Slow,6
pidgeotto,,steel wing,Steel,70,0.9,False,,Medium Slow,6
pidgeot,1.0,gust,Flying,40,1.0,False,,Medium Slow,6
pidgeot,1.0,quick attack,Normal,40,1.0,False,,Medium Slow,6
pidgeot,1.0,tackle,Normal,35,0.95,False,,Medium Slow,6
pidgeot,33.0,wing attack,Flying,60,1.0,False,,Medium Slow,6
pidgeot,,fly,Flying,70,0.95,False,23.0,Medium Slow,6
pidgeot,,hidden power,Normal,60,1.0,False,29.0,Medium Slow,6
pidgeot,,hyper beam,Normal,75,0.9,False,65.0,Medium Slow,6
pidgeot,,return,Normal,102,1.0,False,12.0,Medium Slow,6
pidgeot,,mud-slap,Ground,20,1.0,False,5.0,Medium Slow,6
pidgeot,,swift,Normal,60,1.0,False,7.0,Medium Slow,6
pidgeot,,thief,Dark,40,1.0,False,30.0,Medium Slow,6
pidgeot,,steel wing,Steel,70,0.9,False,,Medium Slow,6
rattata,1.0,tackle,Normal,35,0.95,False,,Medium Fast,7
rattata,7.0,quick attack,Normal,40,1.0,False,,Medium Fast,7
rattata,13.0,hyper fang,Normal,80,0.9,False,,Medium Fast,7
rattata,27.0,pursuit,Dark,40,1.0,False,,Medium Fast,7
rattata,,headbutt,Normal,70,1.0,False,10.0,Medium Fast,7
rattata,,rock smash,Fighting,20,1.0,False,12.0,Medium Fast,7
rattata,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,7
rattata,,blizzard,Ice,120,0.7,False,12.0,Medium Fast,7
rattata,,icy wind,Ice,55,0.95,False,27.0,Medium Fast,7
rattata,,iron tail,Steel,100,0.75,False,20.0,Medium Fast,7
rattata,,thunder,Electric,120,0.7,False,12.0,Medium Fast,7
rattata,,return,Normal,102,1.0,False,12.0,Medium Fast,7
rattata,,dig,Ground,60,1.0,False,14.0,Medium Fast,7
rattata,,shadow ball,Ghost,80,1.0,False,17.0,Medium Fast,7
rattata,,mud-slap,Ground,20,1.0,False,5.0,Medium Fast,7
rattata,,swift,Normal,60,1.0,False,7.0,Medium Fast,7
rattata,,thief,Dark,40,1.0,False,30.0,Medium Fast,7
raticate,1.0,quick attack,Normal,40,1.0,False,,Medium Fast,7
raticate,1.0,tackle,Normal,35,0.95,False,,Medium Fast,7
raticate,13.0,hyper fang,Normal,80,0.9,False,,Medium Fast,7
raticate,30.0,pursuit,Dark,40,1.0,False,,Medium Fast,7
raticate,,cut,Normal,50,0.95,False,10.0,Medium Fast,7
raticate,,strength,Normal,80,1.0,False,,Medium Fast,7
raticate,,headbutt,Normal,70,1.0,False,10.0,Medium Fast,7
raticate,,rock smash,Fighting,20,1.0,False,12.0,Medium Fast,7
raticate,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,7
raticate,,blizzard,Ice,120,0.7,False,12.0,Medium Fast,7
raticate,,hyper beam,Normal,75,0.9,False,65.0,Medium Fast,7
raticate,,icy wind,Ice,55,0.95,False,27.0,Medium Fast,7
raticate,,iron tail,Steel,100,0.75,False,20.0,Medium Fast,7
raticate,,thunder,Electric,120,0.7,False,12.0,Medium Fast,7
raticate,,return,Normal,102,1.0,False,12.0,Medium Fast,7
raticate,,dig,Ground,60,1.0,False,14.0,Medium Fast,7
raticate,,shadow ball,Ghost,80,1.0,False,17.0,Medium Fast,7
raticate,,mud-slap,Ground,20,1.0,False,5.0,Medium Fast,7
raticate,,swift,Normal,60,1.0,False,7.0,Medium Fast,7
raticate,,thief,Dark,40,1.0,False,30.0,Medium Fast,7
spearow,1.0,peck,Flying,35,1.0,False,,Medium Fast,8
spearow,13.0,fury attack,Normal,45,0.85,False,,Medium Fast,8
spearow,25.0,pursuit,Dark,40,1.0,False,,Medium Fast,8
spearow,37.0,drill peck,Flying,80,1.0,False,,Medium Fast,8
spearow,,fly,Flying,70,0.95,False,23.0,Medium Fast,8
spearow,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,8
spearow,,return,Normal,102,1.0,False,12.0,Medium Fast,8
spearow,,mud-slap,Ground,20,1.0,False,5.0,Medium Fast,8
spearow,,swift,Normal,60,1.0,False,7.0,Medium Fast,8
spearow,,thief,Dark,40,1.0,False,30.0,Medium Fast,8
spearow,,steel wing,Steel,70,0.9,False,,Medium Fast,8
fearow,1.0,fury attack,Normal,45,0.85,False,,Medium Fast,8
fearow,1.0,peck,Flying,35,1.0,False,,Medium Fast,8
fearow,26.0,pursuit,Dark,40,1.0,False,,Medium Fast,8
fearow,40.0,drill peck,Flying,80,1.0,False,,Medium Fast,8
fearow,,fly,Flying,70,0.95,False,23.0,Medium Fast,8
fearow,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,8
fearow,,hyper beam,Normal,75,0.9,False,65.0,Medium Fast,8
fearow,,return,Normal,102,1.0,False,12.0,Medium Fast,8
fearow,,mud-slap,Ground,20,1.0,False,5.0,Medium Fast,8
fearow,,swift,Normal,60,1.0,False,7.0,Medium Fast,8
fearow,,thief,Dark,40,1.0,False,30.0,Medium Fast,8
fearow,,steel wing,Steel,70,0.9,False,,Medium Fast,8
ekans,1.0,wrap,Normal,15,0.85,False,,Medium Fast,9
ekans,9.0,poison sting,Poison,15,1.0,False,,Medium Fast,9
ekans,15.0,bite,Dark,60,1.0,False,,Medium Fast,9
ekans,37.0,acid,Poison,40,1.0,False,,Medium Fast,9
ekans,,strength,Normal,80,1.0,False,,Medium Fast,9
ekans,,headbutt,Normal,70,1.0,False,10.0,Medium Fast,9
ekans,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,9
ekans,,giga drain,Grass,60,1.0,False,65.0,Medium Fast,9
ekans,,earthquake,Ground,100,1.0,False,47.0,Medium Fast,9
ekans,,return,Normal,102,1.0,False,12.0,Medium Fast,9
ekans,,dig,Ground,60,1.0,False,14.0,Medium Fast,9
ekans,,sludge bomb,Poison,90,1.0,False,28.0,Medium Fast,9
ekans,,thief,Dark,40,1.0,False,30.0,Medium Fast,9
arbok,1.0,bite,Dark,60,1.0,False,,Medium Fast,9
arbok,1.0,poison sting,Poison,15,1.0,False,,Medium Fast,9
arbok,1.0,wrap,Normal,15,0.85,False,,Medium Fast,9
arbok,43.0,acid,Poison,40,1.0,False,,Medium Fast,9
arbok,,strength,Normal,80,1.0,False,,Medium Fast,9
arbok,,headbutt,Normal,70,1.0,False,10.0,Medium Fast,9
arbok,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,9
arbok,,hyper beam,Normal,75,0.9,False,65.0,Medium Fast,9
arbok,,giga drain,Grass,60,1.0,False,65.0,Medium Fast,9
arbok,,earthquake,Ground,100,1.0,False,47.0,Medium Fast,9
arbok,,return,Normal,102,1.0,False,12.0,Medium Fast,9
arbok,,dig,Ground,60,1.0,False,14.0,Medium Fast,9
arbok,,sludge bomb,Poison,90,1.0,False,28.0,Medium Fast,9
arbok,,thief,Dark,40,1.0,False,30.0,Medium Fast,9
pikachu,1.0,thundershock,Electric,40,1.0,False,,Medium Fast,10
pikachu,11.0,quick attack,Normal,40,1.0,False,,Medium Fast,10
pikachu,20.0,slam,Normal,80,0.75,False,,Medium Fast,10
pikachu,26.0,thunderbolt,Electric,95,1.0,False,,Medium Fast,10
pikachu,41.0,thunder,Electric,120,0.7,False,12.0,Medium Fast,10
pikachu,,strength,Normal,80,1.0,False,,Medium Fast,10
pikachu,,dynamicpunch,Fighting,100,0.5,False,,Medium Fast,10
pikachu,,headbutt,Normal,70,1.0,False,10.0,Medium Fast,10
pikachu,,rollout,Rock,30,0.9,False,13.0,Medium Fast,10
pikachu,,zap cannon,Electric,100,0.5,False,58.0,Medium Fast,10
pikachu,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,10
pikachu,,iron tail,Steel,100,0.75,False,20.0,Medium Fast,10
pikachu,,return,Normal,102,1.0,False,12.0,Medium Fast,10
pikachu,,mud-slap,Ground,20,1.0,False,5.0,Medium Fast,10
pikachu,,swift,Normal,60,1.0,False,7.0,Medium Fast,10
pikachu,,thunderpunch,Electric,75,1.0,False,,Medium Fast,10
raichu,1.0,quick attack,Normal,40,1.0,False,,Medium Fast,10
raichu,1.0,thundershock,Electric,40,1.0,False,,Medium Fast,10
raichu,1.0,thunderbolt,Electric,95,1.0,False,,Medium Fast,10
raichu,,strength,Normal,80,1.0,False,,Medium Fast,10
raichu,,dynamicpunch,Fighting,100,0.5,False,,Medium Fast,10
raichu,,headbutt,Normal,70,1.0,False,10.0,Medium Fast,10
raichu,,rollout,Rock,30,0.9,False,13.0,Medium Fast,10
raichu,,zap cannon,Electric,100,0.5,False,58.0,Medium Fast,10
raichu,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,10
raichu,,hyper beam,Normal,75,0.9,False,65.0,Medium Fast,10
raichu,,iron tail,Steel,100,0.75,False,20.0,Medium Fast,10
raichu,,thunder,Electric,120,0.7,False,12.0,Medium Fast,10
raichu,,return,Normal,102,1.0,False,12.0,Medium Fast,10
raichu,,mud-slap,Ground,20,1.0,False,5.0,Medium Fast,10
raichu,,swift,Normal,60,1.0,False,7.0,Medium Fast,10
raichu,,thunderpunch,Electric,75,1.0,False,,Medium Fast,10
raichu,,thief,Dark,40,1.0,False,30.0,Medium Fast,10
sandshrew,1.0,scratch,Normal,40,1.0,False,,Medium Fast,11
sandshrew,17.0,poison sting,Poison,15,1.0,False,,Medium Fast,11
sandshrew,23.0,slash,Normal,70,1.0,True,,Medium Fast,11
sandshrew,30.0,swift,Normal,60,1.0,False,7.0,Medium Fast,11
sandshrew,37.0,fury swipes,Normal,54,0.8,False,,Medium Fast,11
sandshrew,,cut,Normal,50,0.95,False,10.0,Medium Fast,11
sandshrew,,strength,Normal,80,1.0,False,,Medium Fast,11
sandshrew,,dynamicpunch,Fighting,100,0.5,False,,Medium Fast,11
sandshrew,,headbutt,Normal,70,1.0,False,10.0,Medium Fast,11
sandshrew,,rollout,Rock,30,0.9,False,13.0,Medium Fast,11
sandshrew,,rock smash,Fighting,20,1.0,False,12.0,Medium Fast,11
sandshrew,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,11
sandshrew,,iron tail,Steel,100,0.75,False,20.0,Medium Fast,11
sandshrew,,earthquake,Ground,100,1.0,False,47.0,Medium Fast,11
sandshrew,,return,Normal,102,1.0,False,12.0,Medium Fast,11
sandshrew,,dig,Ground,60,1.0,False,14.0,Medium Fast,11
sandshrew,,mud-slap,Ground,20,1.0,False,5.0,Medium Fast,11
sandshrew,,thief,Dark,40,1.0,False,30.0,Medium Fast,11
sandshrew,,fury cutter,Bug,10,0.95,False,9.0,Medium Fast,11
sandslash,1.0,scratch,Normal,40,1.0,False,,Medium Fast,11
sandslash,17.0,poison sting,Poison,15,1.0,False,,Medium Fast,11
sandslash,24.0,slash,Normal,70,1.0,True,,Medium Fast,11
sandslash,33.0,swift,Normal,60,1.0,False,7.0,Medium Fast,11
sandslash,42.0,fury swipes,Normal,54,0.8,False,,Medium Fast,11
sandslash,,cut,Normal,50,0.95,False,10.0,Medium Fast,11
sandslash,,strength,Normal,80,1.0,False,,Medium Fast,11
sandslash,,dynamicpunch,Fighting,100,0.5,False,,Medium Fast,11
sandslash,,headbutt,Normal,70,1.0,False,10.0,Medium Fast,11
sandslash,,rollout,Rock,30,0.9,False,13.0,Medium Fast,11
sandslash,,rock smash,Fighting,20,1.0,False,12.0,Medium Fast,11
sandslash,,hidden power,Normal,60,1.0,False,29.0,Medium Fast,11
sandslash,,hyper beam,Normal,75,0.9,False,65.0,Medium Fast,11
sandslash,,iron tail,Steel,100,0.75,False,20.0,Medium Fast,11
sandslash,,earthquake,Ground,100,1.0,False,47.0,Medium Fast,11
sandslash,,return,Normal,102,1.0,False,12.0,Medium Fast,11
sandslash,,dig,Ground,60,1.0,False,14.0,Medium Fast,11
sandslash,,mud-slap,Ground,20,1.0,False,5.0,Medium Fast,11
sandslash,,thief,Dark,40,1.0,False,30.0,Medium Fast,11
sandslash,,fury cutter,Bug,10,0.95,False,9.0,Medium Fast,11
nidoran_f,1.0,tackle,Normal,35,0.95,False,,,12
nidoran_f,8.0,scratch,Normal,40,1.0,False,,,12
nidoran_f,12.0,double kick,Fighting,60,1.0,False,,,12
nidoran_f,17.0,poison sting,Poison,15,1.0,False,,,12
nidoran_f,30.0,bite,Dark,60,1.0,False,,,12
nidoran_f,38.0,fury swipes,Normal,54,0.8,False,,,12
nidoran_f,,headbutt,Normal,70,1.0,False,10.0,,12
nidoran_f,,hidden power,Normal,60,1.0,False,29.0,,12
nidoran_f,,blizzard,Ice,120,0.7,False,12.0,,12
nidoran_f,,iron tail,Steel,100,0.75,False,20.0,,12
