evo_id,pokemon,hp,attack,defense,sp_attack,sp_defense,speed,types,evo_lvl,evo_item
14,Clefable,95,70,73,85,85,60,Normal,0,moonstone
15,Vulpix,38,41,40,65,65,65,Fire,0,
15,Ninetales,73,76,75,100,100,100,Fire,0,firestone
16,Jigglypuff,115,45,20,25,25,20,Normal,0,
16,Wigglytuff,140,70,45,50,50,45,Normal,0,moonstone
17,Zubat,40,45,35,40,40,55,Flying/Poison,0,
17,Golbat,75,80,70,75,75,90,Flying/Poison,22,
18,Oddish,45,50,55,75,75,30,Grass/Poison,0,
18,Gloom,60,65,70,85,85,40,Grass/Poison,21,
18,Vileplume,75,80,85,100,100,50,Grass/Poison,21,leafstone
19,Paras,35,70,55,55,55,25,Bug/Grass,0,
19,Parasect,60,95,80,80,80,30,Bug/Grass,24,
20,Venonat,60,55,50,40,40,45,Bug/Poison,0,
20,Venomoth,70,65,60,90,90,90,Bug/Poison,31,
21,Diglett,10,55,25,45,45,95,Ground,0,
21,Dugtrio,35,80,50,70,70,120,Ground,26,
22,Meowth,40,45,35,40,40,90,Normal,0,
22,Persian,65,70,60,65,65,115,Normal,28,
23,Psyduck,50,52,48,50,50,55,Water,0,
23,Golduck,80,82,78,80,80,85,Water,33,
24,Mankey,40,80,35,35,35,70,Fighting,0,
24,Primeape,65,105,60,60,60,95,Fighting,28,
25,Growlithe,55,70,45,50,50,60,Fire,0,
25,Arcanine,90,110,80,80,80,95,Fire,0,firestone
26,Poliwag,40,50,40,40,40,90,Water,0,
26,Poliwhirl,65,65,65,50,50,90,Water,25,
26,Poliwrath,90,85,95,70,70,70,Fighting/Water,25,waterstone
27,Abra,25,20,15,105,105,90,Psychic,0,
27,Kadabra,40,35,30,120,120,105,Psychic,16,
27,Alakazam,55,50,45,135,135,120,Psychic,16,
28,Machop,70,80,50,35,35,35,Fighting,0,
28,Machoke,80,100,70,50,50,45,Fighting,28,
28,Machamp,90,130,80,65,65,55,Fighting,28,
29,Bellsprout,50,75,35,70,70,40,Grass/Poison,0,
29,Weepinbell,65,90,50,85,85,55,Grass/Poison,21,
29,Victreebel,80,105,65,100,100,70,Grass/Poison,21,leafstone
30,Tentacool,40,40,35,100,100,70,Poison/Water,0,
30,Tentacruel,80,70,65,120,120,100,Poison/Water,30,
31,Geodude,40,80,100,30,30,20,Ground/Rock,0,
31,Graveler,55,95,115,45,45,35,Ground/Rock,25,
31,Golem,80,110,130,55,55,45,Ground/Rock,25,
32,Ponyta,50,85,55,65,65,90,Fire,0,
32,Rapidash,65,100,70,80,80,105,Fire,40,
33,Slowpoke,90,65,65,40,40,15,Psychic/Water,0,
33,Slowbro,95,75,110,80,80,30,Psychic/Water,37,
34,Magnemite,25,35,70,95,95,45,Electric,0,
34,Magneton,50,60,95,120,120,70,Electric,30,
35,Farfetchd,52,65,55,58,58,60,Flying/Normal,0,
36,Doduo,35,85,45,35,35,75,Flying/Normal,0,
36,Dodrio,60,110,70,60,60,100,Flying/Normal,31,
37,Seel,65,45,55,70,70,45,Water,0,
37,Dewgong,90,70,80,95,95,70,Ice/Water,34,
38,Grimer,80,80,50,40,40,25,Poison,0,
38,Muk,105,105,75,65,65,50,Poison,38,
39,Shellder,30,65,100,45,45,40,Water,0,
39,Cloyster,50,95,180,85,85,70,Ice/Water,0,waterstone
40,Gastly,30,35,30,100,100,80,Ghost/Poison,0,
40,Haunter,45,50,45,115,115,95,Ghost/Poison,25,
40,Gengar,60,65,60,130,130,110,Ghost/Poison,25,
41,Onix,35,45,160,30,30,70,Ground/Rock,0,
42,Drowzee,60,48,45,90,90,42,Psychic,0,
42,Hypno,85,73,70,115,115,67,Psychic,26,
43,Krabby,30,105,90,25,25,50,Water,0,
43,Kingler,55,130,115,50,50,75,Water,28,
44,Voltorb,40,30,50,55,55,100,Electric,0,
44,Electrode,60,50,70,80,80,140,Electric,30,
45,Exeggcute,60,40,80,60,60,40,Grass/Psychic,0,
45,Exeggutor,95,95,85,125,125,55,Grass/Psychic,0,leafstone
46,Cubone,50,50,95,40,40,35,Ground,0,
46,Marowak,60,80,110,50,50,45,Ground,28,
47,Hitmonlee,50,120,53,35,35,87,Fighting,0,
48,Hitmonchan,50,105,79,35,35,76,Fighting,0,
49,Lickitung,90,55,75,60,60,30,Normal,0,
50,Koffing,40,65,95,60,60,35,Poison,0,
50,Weezing,65,90,120,85,85,60,Poison,35,
51,Rhyhorn,80,85,95,30,30,25,Ground/Rock,0,
51,Rhydon,105,130,120,45,45,40,Ground/Rock,42,
52,Chansey,250,5,5,105,105,50,Normal,0,
53,Tangela,65,55,115,100,100,60,Grass,0,
54,Kangaskhan,105,95,80,40,40,90,Normal,0,
55,Horsea,30,40,70,70,70,60,Water,0,
55,Seadra,55,65,95,95,95,85,Water,32,
56,Goldeen,45,67,60,50,50,63,Water,0,
56,Seaking,80,92,65,80,80,68,Water,33,
57,Staryu,30,45,55,70,70,85,Water,0,
57,Starmie,60,75,85,100,100,115,Psychic/Water,0,waterstone
58,Mr_Mime,40,45,65,100,100,90,Psychic,0,
59,Scyther,70,110,80,55,55,105,Bug/Flying,0,
60,Jynx,65,50,35,95,95,95,Ice/Psychic,0,
61,Electabuzz,65,83,57,85,85,105,Electric,0,
62,Magmar,65,95,57,85,85,93,Fire,0,
63,Pinsir,65,125,100,55,55,85,Bug,0,
64,Tauros,75,100,95,70,70,110,Normal,0,
65,Magikarp,20,10,55,20,20,80,Water,0,
65,Gyarados,95,125,79,100,100,81,Flying/Water,20,
66,Lapras,130,85,80,95,95,60,Ice/Water,0,
67,Ditto,48,48,48,48,48,48,Normal,0,
68,Eevee,55,55,50,65,65,55,Normal,0,
68,Vaporeon,130,65,60,110,110,65,Water,0,waterstone
69,Eevee,55,55,50,65,65,55,Normal,0,
69,Jolteon,65,65,60,110,110,130,Electric,0,thunderstone
70,Eevee,55,55,50,65,65,55,Normal,0,
70,Flareon,65,130,60,110,110,65,Fire,0,firestone
71,Porygon,65,60,70,75,75,40,Normal,0,
72,Omanyte,35,40,100,90,90,35,Rock/Water,0,
72,Omastar,70,60,125,115,115,55,Rock/Water,40,
73,Kabuto,30,80,90,45,45,55,Rock/Water,0,
73,Kabutops,60,115,105,70,70,80,Rock/Water,40,
74,Aerodactyl,80,105,65,60,60,130,Flying/Rock,0,
75,Snorlax,160,110,65,65,65,30,Normal,0,
76,Articuno,90,85,100,125,125,85,Flying/Ice,0,
77,Zapdos,90,90,85,125,125,100,Electric/Flying,0,
78,Moltres,90,100,90,125,125,90,Fire/Flying,0,
79,Dratini,41,64,45,50,50,50,Dragon,0,
79,Dragonair,61,84,65,70,70,70,Dragon,30,
79,Dragonite,91,134,95,100,100,80,Dragon/Flying,55,
80,Mewtwo,106,110,90,154,154,130,Psychic,0,
81,Mew,100,100,100,100,100,100,Psychic,0,
